Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description
PWD,2022_PWD_62481_16,PW-RD-CB-Tender/22-3688-3787 dt.30.05.22,C O Todsa Gummna Shagli road Km. 0.0 to 5.500,Er. Pawan,Internal,Er. C.L. Azad,Pawan Kumar Garg,25-Nov-2022 04:19 PM,finsummary_94228.pdf (242.00 KB),1.0,292298.0,JAI PRAKASH,INR,"923,251",28-Apr-2023,"INR 923,251",60.0,Duni Chand Chauhan,28-Apr-2023 02:53 PM,deepak.pdf (499.00 KB),AOC,1.0,292298.0,JAI PRAKASH,22-Jul-2022 03:56 PM,Accepted-AOC,AOC,28-Apr-2023,PAWAN KUMAR,Internal,"Er. C.L. Azad, Ranvir Chauhan and Sanjay Thakur",Duni Chand Chauhan,28-Jul-2022 06:35 PM,29-Jul-2022 10:00 AM,techsummary_94228.pdf (392.90 KB),Technical,Summery,Duni Chand Chauhan,28-Jul-2022 06:26 PM,technical_94228.pdf,Finance,Summery,Pawan Kumar Garg,29-Jul-2022 06:10 PM,finance_94228.pdf,BOQ Comparative Chart,14-Jul-2022 06:00 PM,25-Jul-2022 11:00 AM,14-Jul-2022 06:00 PM,23-Jul-2022 06:00 PM,NA ,NA ,14-Jul-2022 06:00 PM,23-Jul-2022 06:00 PM,29-Jul-2022 10:00 AM,C O Todsa Gummna Shagli road Km. 0.0 to 5.500,SH Providing Kharanja stone soling Km. 0.500 to 1.0,Please refer Tender documents. ,NA ,"9,23,251",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,1.0,ICICI BANK,"18,465",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,PWD,PW-RD-CB-Tender/22-3688-3787 dt.30.05.22,2022_PWD_62481_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,E E HPPWD ROHRU,EE ROHRU,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM
,,,,,,,,,,,,,,,,,,,,,,2.0,292419.0,SURINDER SINGH,23-Jul-2022 12:10 PM,Rejected-Finance,2nd lowest,25-Nov-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8
