EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"20,33,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,Improvement of KudhiarMasiana road from Km. 0/0 to 12/0,"SH Formation cutting 6/7.50 metre wide Retaining wall Cross drainage GSB WMM BM SDBC, interlocking Paver V-Shape-Drain Kilometer stone, Parapet Crash Barrier Km. 0/0 to 12/0 under NABARD RIDF-XXVIII",Please refer Tender documents. ,NA ,"10,16,85,408",Civil Works - Roads,NA ,Tender,75.0,448.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,Improvement KudhiarMasiana road Km. 0/0 to 12/0,2023_PWD_69639_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,24-Feb-2023 04:10 PM,02-Mar-2023 11:00 AM,24-Feb-2023 04:10 PM,02-Mar-2023 10:30 AM,NA ,NA ,24-Feb-2023 04:10 PM,02-Mar-2023 10:30 AM,09-Mar-2023 11:00 AM,PWD,2023_PWD_69639_1,Improvement KudhiarMasiana road Km. 0/0 to 12/0,Improvement of KudhiarMasiana road from Km. 0/0 to 12/0,EE Hamirpur,Internal,SupdtHDMSrDAAEtoEE,Deepak Kapil,07-Mar-2023 05:12 PM,09-Mar-2023 11:00 AM,techsummary_105065.pdf (2892.33 KB),EE Hamirpur,Internal,SupstHDMSrDAOAEtoEE,Deepak Kapil,13-Mar-2023 02:20 PM,finsummary_105065.pdf (449.65 KB),13-Apr-2023,"INR 110,780,902",448.0,Sanjay Katoch,13-Apr-2023 11:57 AM,AWARDmsc.pdf (348.00 KB),aWARD,1.0,330549.0,MSC Roads and Bridges Private Limited,INR,"105,300,000.01",Finance,Attached,Deepak Kapil,13-Mar-2023 02:11 PM,finance_105065.pdf,BOQ Comparative Chart,1.0,330549.0,MSC Roads and Bridges Private Limited,02-Mar-2023 09:03 AM,Accepted-AOC,L1,13-Apr-2023,Technical,Attached,Deepak Kapil,07-Mar-2023 05:08 PM,technical_105065.pdf
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330452.0,Rajinder Rana,01-Mar-2023 03:24 PM,Rejected-Technical,Rejeceted,07-Mar-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,329237.0,S.S.Chauhans Construction Private Limted,01-Mar-2023 05:45 PM,Rejected-Finance,l2,13-Mar-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from HP State Pollution Control Board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
