Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Er. S.K. Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,25-Apr-2023 03:39 PM,finsummary_108121.pdf (362.40 KB),29-Apr-2023,"INR 1,615,086",90.0,Suresh Kumar Dhiman,30-May-2023 01:15 PM,AOCchamarjanitosansoi.pdf (260.00 KB),Detail attached,PWD,2023_PWD_71859_2,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,Periodical Maintenance on Chamarjani to Sansoi road km 0.0 to 2.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 1.0 to 2.0 AMP for the year 2023 24 Village Roads.,Er. S.K. Dhiman,Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Naggar DAO 4. Sh. Govind Singh Thakur AE,Suresh Kumar Dhiman,18-Apr-2023 03:10 PM,18-Apr-2023 03:20 PM,techsummary_108121.pdf (253.41 KB),1.0,341649.0,GORSI CONSTRUCTION PVT LTD,INR,"1,615,086",Finance,Detail attached.,Suresh Kumar Dhiman,25-Apr-2023 03:14 PM,finance_108121.pdf,BOQ Comparative Chart,Technical,Summary attached,Suresh Kumar Dhiman,18-Apr-2023 03:02 PM,technical_108121.pdf,1.0,341649.0,GORSI CONSTRUCTION PVT LTD,12-Apr-2023 12:48 PM,Accepted-AOC,L1,30-May-2023,"30,800",No,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Periodical Maintenance on Chamarjani to Sansoi road km 0.0 to 2.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 1.0 to 2.0 AMP for the year 2023 24 Village Roads.,Periodical Maintenance on Chamarjani to Sansoi road km 0.0 to 2.0 SH- Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 1.0 to 2.0 AMP for the year 2023 24 Village Roads.,Please refer Tender documents. ,NA ,"15,39,643",Civil Works,NA ,Tender,120.0,90.0,Sansoi,175121.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,500.0,Nil,Nil,No,04-Apr-2023 05:00 PM,13-Apr-2023 11:30 AM,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,18-Apr-2023 03:20 PM,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,1.0,ICICI BANK,PWD,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,2023_PWD_71859_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341796.0,SANDEEP KUMAR SHARMA,12-Apr-2023 02:08 PM,Rejected-Finance,L2,25-Apr-2023,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
