Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.3,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name,Name,Address
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_71249_1,184619/2022-23-9127-32 Dated 14-03-2023,Tender for providing 22 KV HT line to 63 KVA 22/0.4 KV s/stn Ruchhad under ESD HPSEBL Chhatri.,1.0,338387.0,Koyla Engineering Works,INR,"694,942.5","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,25-Apr-2023 03:03 PM,finsummary_107295.pdf (483.81 KB),1.0,Tender Revocation,Due to clerical mistake,25-Apr-2023 02:49 PM,Revokecurr.pdf ,290.9,Financial Opening,Finance,Financial bid opened by tender committee.,Sushil Kumar,25-Apr-2023 03:00 PM,finance_107295.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document,Ravinder Kumar,18-Apr-2023 02:51 PM,technical_107295.pdf,25-Apr-2023,"INR 926,590",90.0,Sushil Kumar,25-Apr-2023 03:04 PM,award157htruchhad.pdf (2326.00 KB),Awarded to M/S Koyla Engineering Works (L-1) which found lowest,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Ravinder Kumar,18-Apr-2023 03:13 PM,18-Apr-2023 03:15 PM,techsummary_107295.pdf (445.86 KB),1.0,338571.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,27-Mar-2023 09:37 AM,Rejected-Finance,L2,25-Apr-2023,"23,165",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,Tender for providing 22 KV HT line to 63 KVA 22/0.4 KV s/stn Ruchhad under ESD HPSEBL Chhatri.,Tender for providing 22 KV HT line to 63 KVA 22/0.4 KV s/stn Ruchhad under ESD HPSEBL Chhatri.,Please refer tender document  ,N/A ,"9,26,590",Supply and Erection,Electrical work ,Tender,180.0,90.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-9127-32 Dated 14-03-2023,2023_HPSEB_71249_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,20-Mar-2023 06:20 PM,11-Apr-2023 12:30 PM,21-Mar-2023 05:00 PM,11-Apr-2023 10:30 AM,NA ,NA ,21-Mar-2023 05:00 PM,11-Apr-2023 10:30 AM,18-Apr-2023 03:15 PM,1.0,Date Corrigendum-3,Date,,1.0,ICICI BANK,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,338387.0,Koyla Engineering Works,30-Mar-2023 11:44 AM,Accepted-AOC,Awarded to M/S Koyla Engineering Works (L-1) which found lowest,25-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
