Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
26-Apr-2023,"INR 2,003,639",30.0,Sarthak Kumar,02-Dec-2023 11:53 AM,67793.pdf (414.00 KB),AOC,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,17-Feb-2023 05:01 PM,finsummary_102130.pdf (145.91 KB),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,13-Feb-2023 06:47 PM,14-Feb-2023 12:00 PM,techsummary_102130.pdf (161.43 KB),PWD,2023_PWD_67793_1,EE Plp NIT No. 18350-409 dt 24.01.2023,P/M of link road from Arth Jhikli to Ree Gidda road under (Rural road) ( HP 0402VR010119301) (AMP 2023-24) (SH- Providing and laying 30 MM thick B.C with Paver finisher between Km 0/00 to 1/500),Technical,Technical bid opening summary,Manoj Sood,13-Feb-2023 06:46 PM,technical_102130.pdf,1.0,320046.0,M/s Kamala Enterprises,06-Feb-2023 02:16 AM,Accepted-AOC,AOC,02-Dec-2023,1.0,320046.0,M/s Kamala Enterprises,INR,"1,974,623",Finance,Financial bid opening summary,Manoj Sood,17-Feb-2023 04:59 PM,finance_102130.pdf,BOQ Comparative Chart,"40,100",No,fixed,,Nil,Nil,"Er. B.M. Thakur, EE",Palampur Division HPPWD Palampur,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,P/M of link road from Arth Jhikli to Ree Gidda road under (Rural road) ( HP 0402VR010119301) (AMP 2023-24) (SH- Providing and laying 30 MM thick B.C with Paver finisher between Km 0/00 to 1/500),P/M of link road from Arth Jhikli to Ree Gidda road under (Rural road) ( HP 0402VR010119301) (AMP 2023-24) (SH- Providing and laying 30 MM thick B.C with Paver finisher between Km 0/00 to 1/500),Please refer Tender documents. ,NA ,"20,03,639",Civil Works - Roads,NA ,Tender,75.0,30.0,Palampur,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,500.0,Nil,Nil,No,PWD,EE Plp NIT No. 18350-409 dt 24.01.2023,2023_PWD_67793_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,02-Feb-2023 10:00 AM,07-Feb-2023 11:30 AM,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,NA ,NA ,02-Feb-2023 10:00 AM,07-Feb-2023 11:00 AM,14-Feb-2023 12:00 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320352.0,Sanjeev,05-Feb-2023 07:33 PM,Rejected-Finance,Bidder is found L2,17-Feb-2023,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
