Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
07-Apr-2023,"INR 3,461,581",182.0,Jitender Kumar,07-Apr-2023 02:53 PM,AOC54463.PDF (424.00 KB),AOC,Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,07-Apr-2023 02:52 PM,finsummary_81544.pdf (484.16 KB),Er. J.K. Gupta,Internal,AE Kamand HDM Supdt.,Jitender Kumar,18-Dec-2021 03:41 PM,20-Dec-2021 11:00 AM,techsummary_81544.pdf (863.30 KB),PWD,2021_PWD_54463_1,PW-MDI-Tender-NIT- 13431-65 dated 25.10.2021,Construction of Navlay to Gad road Km 0/0 to 1/500,Finance,fbosummary,Jitender Kumar,20-Dec-2021 03:06 PM,finance_81544.pdf,BOQ Comparative Chart,1.0,249664.0,Bes Ram,INR,"2,547,723.87",Technical,summary,Jitender Kumar,17-Dec-2021 03:43 PM,technical_81544.pdf,1.0,249150.0,BALI RAM,13-Dec-2021 02:55 PM,Rejected-Finance,L-5,07-Apr-2023,Construction of Navlay to Gad road Km 0/0 to 1/500,Providing and laying soling WBM Grade-I in Km 0/0 to 1/500 and Construction of retaining wall at R.D. 0/555 to 0/570 and 0/825 to 0/840 and Breast wall at R.D. 0/230 to 0/250,As per bid documents ,NA ,"34,61,581",Civil Works - Roads,NA ,Tender,90.0,182.0,Kamand,175005.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,"1,500","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),PWD,PW-MDI-Tender-NIT- 13431-65 dated 25.10.2021,2021_PWD_54463_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"69,232",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",1.0,ICICI BANK,08-Dec-2021 05:00 PM,16-Dec-2021 11:30 AM,08-Dec-2021 05:00 PM,16-Dec-2021 11:00 AM,NA ,NA ,08-Dec-2021 05:00 PM,16-Dec-2021 11:00 AM,20-Dec-2021 11:00 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,249664.0,Bes Ram,15-Dec-2021 02:57 PM,Accepted-AOC,AOC,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,249441.0,LABH SINGH CONTRACTOR,14-Dec-2021 01:36 PM,Rejected-Technical,Non-Responsive,18-Dec-2021,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,249497.0,LEKH RAJ,14-Dec-2021 03:28 PM,Rejected-Finance,L-2,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,249475.0,RAJU RAM,14-Dec-2021 02:34 PM,Rejected-Technical,Non-Responsive,18-Dec-2021,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,249826.0,Sohan lal,15-Dec-2021 06:49 PM,Rejected-Finance,L-3,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,249924.0,VIJAY KUMAR,15-Dec-2021 09:57 PM,Rejected-Finance,L-4,07-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
