Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML-03-740-Tndr/23-7396-05 dt 17/1/23,2023_HPIPH_67235_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,50,800",Yes,fixed,,EE Suni,Suni,18-Jan-2023 05:00 PM,30-Jan-2023 11:30 AM,18-Jan-2023 05:00 PM,30-Jan-2023 11:00 AM,18-Jan-2023 05:00 PM ,30-Jan-2023 11:00 AM ,18-Jan-2023 05:00 PM,30-Jan-2023 11:00 AM,24-Feb-2023 11:40 AM,Providing drinking Water Supply Scheme for Shimla under Jal Shakti Division Suni Tehsil Suni Distt Shimla HP (GP Chanoug and Nehra Under SCSP,Providing drinking Water Supply Scheme for Shimla under Jal Shakti Division Suni Tehsil Suni Distt Shimla HP GP Chanoug and Nehra Under SCSP.,Please refer Tender documents. ,NA ,"2,18,23,769",Civil Works - Water Works,NA ,Tender,120.0,365.0,Suni,171301.0,NA ,NA ,NA ,Suni,No ,No,Executive Engineer,JSV Division Suni,1.0,ICICI BANK,"2,500",EE Suni,Suni,No,1.0,Class of bidders,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per NIT,Technical,Cover-1 downloaded successfully,Subash Chauhan,24-Feb-2023 11:21 AM,technical_101381.pdf,Finance,Fin bid opened successfully,Subash Chauhan,01-Apr-2023 05:15 PM,finance_101381.pdf,BOQ Comparative Chart,03-Apr-2023,"INR 21,823,769",365.0,Subash Chauhan,03-Apr-2023 10:59 AM,Award.pdf (1504.00 KB),Estimated cost,1.0,317672.0,Dinesh Singh Thakur,30-Jan-2023 10:50 AM,Rejected-AOC,Higher bid,03-Apr-2023,SE,Internal,CHD AED EED,Subash Chauhan,24-Feb-2023 11:29 AM,24-Feb-2023 11:40 AM,techsummary_101381.pdf (456.65 KB),SE,External,AECHDEED,Subash Chauhan,01-Apr-2023 05:19 PM,finsummary_101381.pdf (751.16 KB),1.0,317348.0,Roshan Chauhan,INR,"19,923,430","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",2023_HPIPH_67235_1,SNN-SML-03-740-Tndr/23-7396-05 dt 17/1/23,Providing drinking Water Supply Scheme for Shimla under Jal Shakti Division Suni Tehsil Suni Distt Shimla HP (GP Chanoug and Nehra Under SCSP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Cost of tender document,,,,,,,,,,,,,,,,,,,2.0,316880.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,26-Jan-2023 04:22 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with Jal Shakti Vibhag in appropriate class and latest rene,,,,,,,,,,,,,,,,,,,3.0,316751.0,Rohit Sharma,30-Jan-2023 09:27 AM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,4.0,317348.0,Roshan Chauhan,30-Jan-2023 10:24 AM,Accepted-AOC,Lowest bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax Return filed,,,,,,,,,,,,,,,,,,,5.0,316802.0,Sai Aqua Machines and Builders,27-Jan-2023 05:13 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax registration/TIN Numbers/GSTIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding Dizital Signature Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Scanned copy of under taking that I have carefully studied all the Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump Characteristics curves in pdf format indication Horse Power required at duty point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
