Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.2,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
10-Apr-2023,"INR 4,387,176.58",60.0,Arvind Kumar Bhardwaj,10-Apr-2023 04:00 PM,PMshimlaMandiAwardLetter.pdf (365.00 KB),Award letter,Arvind Kumar Bhardwaj,Internal,attached.,Arvind Kumar Bhardwaj,10-Apr-2023 03:57 PM,finsummary_91866.pdf (330.51 KB),Arvind Kumar Bhardwaj,Internal,attached.,Arvind Kumar Bhardwaj,28-May-2022 02:05 PM,28-May-2022 02:10 PM,techsummary_91866.pdf (464.80 KB),PWD,2022_PWD_60824_1,1244-50,Periodical Maintenance on Shimla Mandi road,Technical,Summary Attached.,Arvind Kumar Bhardwaj,28-May-2022 01:22 PM,technical_91866.pdf,1.0,283928.0,PUNEET GOVT CONT,26-May-2022 03:16 PM,Accepted-AOC,L-I,10-Apr-2023,Finance,Financial Sumarry,Arvind Kumar Bhardwaj,10-Apr-2023 03:52 PM,finance_91866.pdf,BOQ Comparative Chart,1.0,283928.0,PUNEET GOVT CONT,INR,"4,387,176.58",EE HPPWD Karsog,O/O EE HPPWD Division Karsog,PWD,1244-50,2022_PWD_60824_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,cost of tender DD,1.0,DD - Demand Draft,"83,600",No,fixed,,EE Karsog,Karsog/Karsog,"2,000",EE Karsog,Karsog/Karsog,Yes,Periodical Maintenance on Shimla Mandi road,"Periodical Maintenance on Shimla Mandi road No. HP0806MDR0762994, HP0806MDR07629401, HP0806MDR07629401 and HP0806MDR07629410 SUB HEAD Providing and laying 30mm bituminous concrete, Thermo Plastic Paint in Km. 93/00 to 94/00, 100/00 to 100/500, 100/5",Please refer Tender documents. ,NA ,"41,79,458",Civil Works,NA ,Tender,90.0,60.0,Pangna,175046.0,NA ,NA ,NA ,O/O EE HPPWD Division Karsog,No ,No,20-May-2022 09:00 AM,27-May-2022 11:00 AM,20-May-2022 09:00 AM,26-May-2022 05:00 PM,NA ,NA ,20-May-2022 09:00 AM,26-May-2022 05:00 PM,28-May-2022 02:10 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283933.0,SURESH SHARMA GOVT CONTRACTOR,26-May-2022 03:21 PM,Rejected-Finance,Found L-II,10-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in the shape of FDR,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tools plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF miscellaneous provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD form 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
