Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,PWD,Nagrota-16,2023_PWD_70940_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,16-Mar-2023 03:00 PM,24-Mar-2023 11:00 AM,16-Mar-2023 03:00 PM,24-Mar-2023 10:00 AM,NA ,NA ,16-Mar-2023 03:00 PM,24-Mar-2023 10:00 AM,28-Mar-2023 02:00 PM,"2,000",Nil,Nil,No,"90,250",No,fixed,,Nil,Nil,"Construction of link road to village Naura including bridge over Baner Khad to joint Thanpuri Km 0/000 to 1/870 in District Kangra, (H.P.). (SH-Balance work of Retaining wall at various Rds between Km 0/000 to 1/000.)","Construction of link road to village Naura including bridge over Baner Khad to joint Thanpuri Km 0/000 to 1/870 in District Kangra, (H.P.). (SH-Balance work of Retaining wall at various Rds between Km 0/000 to 1/000.)",Please refer Tender documents. ,NA ,"45,11,577",Civil Works,NA ,Tender,120.0,90.0,Nagrota bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,PWD,2023_PWD_70940_1,Nagrota-16,"Construction of link road to village Naura including bridge over Baner Khad to joint Thanpuri Km 0/000 to 1/870 in District Kangra, (H.P.). (SH-Balance work of Retaining wall at various Rds between Km 0/000 to 1/000.)",Executive Engineer,Internal,AE DAO Supdt HDM,Ankit Kumar,28-Mar-2023 01:07 PM,28-Mar-2023 02:00 PM,techsummary_106887.pdf (1039.27 KB),Executiv Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,03-Apr-2023 11:19 AM,finsummary_106887.pdf (195.33 KB),20-Apr-2023,"INR 4,511,577",90.0,Suresh Kumar Walia,14-Jun-2023 03:06 PM,naura.pdf (911.00 KB),Award,Finance,sum,Suresh Kumar Walia,03-Apr-2023 11:16 AM,finance_106887.pdf,BOQ Comparative Chart,1.0,337134.0,sahil choudhary govt contractor,INR,"4,646,924",1.0,337138.0,MANJEET SINGH GOVT CONTRACTOR,23-Mar-2023 06:11 PM,Rejected-Finance,lowest2,03-Apr-2023,Technical,sum,Ankit Kumar,28-Mar-2023 01:06 PM,technical_106887.pdf
,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336495.0,PARDEEP KUMAR,23-Mar-2023 12:03 PM,Rejected-Technical,Document not received as per requirement,28-Mar-2023,,,,,
,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336170.0,RAHUL SHARMA,22-Mar-2023 01:32 PM,Rejected-Technical,Document not received as per requirement,28-Mar-2023,,,,,
,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,337134.0,sahil choudhary govt contractor,23-Mar-2023 05:20 PM,Accepted-AOC,Award,14-Jun-2023,,,,,
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
