Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Publish Date.1,Bid Opening Date.1,Bid Submission Opening Date,Bid Submission Closing Date,Pre Bid Meeting Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date.1,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical cover is opened and processed for evaluation,NEELAKSHI BAITHURI,24-Nov-2021 01:18 PM,,07-Feb-2022,INR 4418866.08,120.0,NEELAKSHI BAITHURI,04-Apr-2023 03:48 PM,Bechimari.pdf (569.00 KB),As per DBC minutes,Finance,Financial cover is opened and processed for evaluation.,Upasana Devi,29-Dec-2021 02:06 PM,,BOQ Comparative Chart,1.0,126383.0,GANPATI CONSTRUCTION COMPANY,INR,4418866.08,DoA,Internal,"DoH, Sr.FAO, MD-Seeds, PME-ARIASS etc.",NEELAKSHI BAITHURI,21-Jan-2022 01:30 PM,finsummary_35772.pdf (1790.21 KB),Directorate of Agriculture and Assam Seed Corporation,2021_DAASC_23257_3,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Bechimari-Dalgaon,DOA,Internal,"DOH, , Sr. FAO, MD-Seeds, PME ARIAS etc.",NEELAKSHI BAITHURI,23-Dec-2021 05:29 PM,techsummary_35772.pdf (2340.31 KB),1,126261,A K SEAL,14-Nov-2021 05:43 PM,Rejected-Technical,As per minutes,23-Dec-2021 05:29 PM,AOC,0.0,Nil,Nil,No,Director of Agriculture,"Directorate of Agriculture, Assam, Khanapara,Ghy-22",30-Oct-2021 02:00 PM,16-Nov-2021 02:00 PM,30-Oct-2021 04:00 PM,15-Nov-2021 01:00 PM,NA ,NA ,01-Nov-2021 02:00 PM,15-Nov-2021 01:00 PM,29-Dec-2021 12:00 PM,23-Dec-2021 06:00 PM,29-Dec-2021 12:00 PM,23-Dec-2021 06:00 PM,28-Dec-2021 05:00 PM,,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Bechimari-Dalgaon,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Bechimari-Dalgaon,Please refer RFQ documents. ,NA ,"60,00,000",Civil Works,NA ,Tender,45.0,120.0,Darrang,781022.0,NA ,NA ,NA ,o/o the Chief Engineer Agriculture Assam Khanapara,No ,No,1.0,Corrigendum,BOQ,,1.0,Fee/PreQual/Technical,.pdf,RFQ for Construction of office building of the ADO Officer including sanitary etc,Directorate of Agriculture and Assam Seed Corporation,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,2021_DAASC_23257_3,Yes,Open Tender,Works,Works,2.0,No,No,Not Applicable,No,No,Yes,0.0,No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,126217,Dewan Mustafizur,14-Nov-2021 04:07 PM,Rejected-AOC,As per DBC minutes,04-Apr-2023 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,126323,DILIP MAZUMDAR,15-Nov-2021 01:30 AM,Rejected-AOC,As per DBC minutes,04-Apr-2023 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126389,DIPUL DEKA,15-Nov-2021 11:25 AM,Rejected-Technical,As per minutes,23-Dec-2021 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,126036,Fayzal Hoque,13-Nov-2021 01:47 PM,Rejected-AOC,As per DBC minutes,04-Apr-2023 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,126383,GANPATI CONSTRUCTION COMPANY,15-Nov-2021 11:17 AM,Accepted-AOC,As per DBC minutes,04-Apr-2023 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,125987,IMTIAZ AHMED,14-Nov-2021 08:58 PM,Rejected-Technical,As per minutes,23-Dec-2021 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,126004,JAGADISH BARUAH,15-Nov-2021 12:59 PM,Rejected-AOC,As per DBC minutes,04-Apr-2023 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,126183,MAKUNDA DEKA,14-Nov-2021 01:26 PM,Rejected-Technical,As per minutes,23-Dec-2021 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,126460,MD. ALIMUDDIN AHMED,15-Nov-2021 12:44 PM,Rejected-AOC,As per DBC minutes,04-Apr-2023 03:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
