Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii)Earnest money- schedule f at sr. No. (i),Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),Periodical renewal on link road to village Ghuttanpur and Rampurghat to Giri River road (SH- Repair of pot holes by Providing penetration for correction layer and 30mm thick bituminous concrete in km. 1/0 to 2/200 and km. 0/0 to 0/500). under AMP fo,Periodical renewal on link road to village Ghuttanpur and Rampurghat to Giri River road (SH- Repair of pot holes by Providing penetration for correction layer and 30mm thick bituminous concrete in km. 1/0 to 2/200 and km. 0/0 to 0/500). under AMP fo,Please refer tender document ,NA ,"24,76,200",Civil Works - Roads,NA ,Tender,75.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"44,700",No,fixed,,Nil,Nil,PWD,Tender/2021-22-13485-13534 dated 14.03.2022,2022_PWD_58314_22,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,22-Mar-2022 05:45 PM,29-Mar-2022 11:00 AM,22-Mar-2022 06:00 PM,29-Mar-2022 10:30 AM,NA ,NA ,22-Mar-2022 06:00 PM,29-Mar-2022 10:30 AM,31-Mar-2022 03:00 PM,500.0,Nil,Nil,No,1.0,ICICI BANK,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,19-Apr-2022 10:45 AM,finance_88335.pdf,BOQ Comparative Chart,1.0,272527.0,Chanana Cont. Works,28-Mar-2022 10:21 PM,Accepted-AOC,work completed,17-Apr-2023,Technical,Bid Opening Summary,Kishan Lal Chaudhary,31-Mar-2022 12:08 PM,technical_88335.pdf,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,31-Mar-2022 01:18 PM,31-Mar-2022 03:00 PM,techsummary_88335.pdf (896.08 KB),1.0,272527.0,Chanana Cont. Works,INR,"2,118,234",17-Apr-2023,"INR 2,476,200",90.0,Dalip Singh Tomar,17-Apr-2023 11:54 AM,aoc.pdf (995.00 KB),AOC,PWD,2022_PWD_58314_22,Tender/2021-22-13485-13534 dated 14.03.2022,Periodical renewal on link road to village Ghuttanpur and Rampurghat to Giri River road (SH- Repair of pot holes by Providing penetration for correction layer and 30mm thick bituminous concrete in km. 1/0 to 2/200 and km. 0/0 to 0/500). under AMP fo,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,19-Apr-2022 11:39 AM,finsummary_88335.pdf (311.31 KB)
,,.pdf,Contractors registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,273593.0,H. C. Bansal Engg. & Contt.,29-Mar-2022 01:43 AM,Rejected-Finance,L4,19-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,272411.0,Manoj Chawla,28-Mar-2022 04:44 PM,Rejected-Finance,L3,19-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,272981.0,M/S Sharma Enterpirses,29-Mar-2022 01:15 AM,Rejected-Finance,L2,19-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18(i.e.R.C,purchase bills,ownership/Affidavit etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,If contractor has not his own machinery and takes it on hire basis then affidavit required from owne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
