Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),1.0,DD - Demand Draft,30-Jul-2019 06:00 PM,17-Aug-2019 11:00 AM,30-Jul-2019 06:00 PM,14-Aug-2019 06:00 PM,NA ,NA ,30-Jul-2019 06:00 PM,14-Aug-2019 06:00 PM,26-Aug-2019 03:30 PM,Annual Maintenance of road after post five years PMGSY of Narial Kelvi Dharampur Kiartoo Bagoti road km 0.0 to 28.0 SH P.L Bitumen conc. 25 mm thick in km 6.0 to 7.0 8.0 to 10.0 11.0 to12.0 22.0 to 24.0 and 27.0 to 28.0,Annual Maintenance of road after post five years PMGSY of Narial Kelvi Dharampur Kiartoo Bagoti road km 0.0 to 28.0 SH P.L Bitumen conc. 25 mm thick in km 6.0 to 7.0 8.0 to 10.0 11.0 to12.0 22.0 to 24.0 and 27.0 to 28.0,Please refer Tender documents. ,NA ,"49,94,907",Civil Works - Roads,NA ,Tender,90.0,90.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,PWD,PW.THD.CB.Tender.2019-4669-76 dt.20.7.2019,2019_PWD_30560_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HP PWD Division Theog,"2,000",EE Theog,HP PWD Theog,No,"82,400",No,fixed,,EE Theog,HP PWD Theog,AOC,PWD,2019_PWD_30560_1,PW.THD.CB.Tender.2019-4669-76 dt.20.7.2019,Annual Maintenance of road after post five years PMGSY of Narial Kelvi Dharampur Kiartoo Bagoti road km 0.0 to 28.0 SH P.L Bitumen conc. 25 mm thick in km 6.0 to 7.0 8.0 to 10.0 11.0 to12.0 22.0 to 24.0 and 27.0 to 28.0,Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Satish Chand,26-Aug-2019 03:26 PM,26-Aug-2019 03:30 PM,techsummary_44010.pdf (345.27 KB),Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,02-Jan-2020 04:11 PM,finsummary_44010.pdf (343.70 KB),02-Jan-2020,"INR 4,994,907",90.0,Mahesh Kanwar,02-Jan-2020 04:23 PM,AOC.pdf (648.00 KB),AOC,1.0,127760.0,lov vij govt contractor,14-Aug-2019 09:15 AM,Accepted-AOC,Responsive,02-Jan-2020 04:23 PM,Technical,summary,Mahesh Kanwar,17-Aug-2019 12:12 PM,technical_44010.pdf,Finance,summary,Mahesh Kanwar,26-Aug-2019 04:16 PM,finance_44010.pdf,BOQ Comparative Chart,1.0,127760.0,lov vij govt contractor,INR,"6,982,142",AOC
,,.pdf,Earnest Money deposit (as Schedule-F.),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127725.0,P K Construction Shimla Pvt Ltd,13-Aug-2019 06:34 PM,Rejected-Finance,Non Responsive,02-Jan-2020 04:11 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done Certificate (as per Performa given in General Rule No-19 Countersigned by EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work in Hand (as per Performa given in General Rule No-19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Machinery, Tools and plants (as per Schedule-F with reference to clause-18).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
