Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
500.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,25-Oct-2019 06:30 PM,08-Nov-2019 11:00 AM,25-Oct-2019 06:30 PM,08-Nov-2019 10:30 AM,NA ,NA ,25-Oct-2019 06:30 PM,08-Nov-2019 10:30 AM,15-Nov-2019 10:30 AM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",1.0,DD - Demand Draft,PWD,PW/TDD/GA-NIT/2019-7538dt. 10.10.2019,2019_PWD_32303_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"24,300",Yes,fixed,,EE Tauni Devi,Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,C/o link road to Harizan Basti Chalokhar Km. 0/0 to 0/600,"F/C, Hume Pipe culvert ,R/walls,M/T works and PCC drain in km 0/0 to 0/600.SCSP",Please refer Tender documents. ,NA ,"12,13,332",Civil Works,NA ,Tender,90.0,90.0,Tauni Devi,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,AOC,PWD,2019_PWD_32303_1,PW/TDD/GA-NIT/2019-7538dt. 10.10.2019,C/o link road to Harizan Basti Chalokhar Km. 0/0 to 0/600,EE,Internal,Supdt/HDM/DAO,Swaroop Kumar,13-Nov-2019 05:05 PM,15-Nov-2019 10:30 AM,techsummary_46431.pdf (212.51 KB),EE,Internal,Supdt/HDM/DAO,Swaroop Kumar,03-Dec-2019 04:54 PM,finsummary_46431.pdf (185.70 KB),26-Jan-2020,"INR 1,412,041",90.0,Swaroop Kumar,26-Jan-2020 03:20 PM,RahulThakurChalokhar.pdf (746.00 KB),AOC,1.0,135852.0,ASHWANI KUMAR GOVT. CONTRACTOR,07-Nov-2019 06:29 PM,Rejected-AOC,Higher,26-Jan-2020 03:20 PM,Technical,TechBid,Swaroop Kumar,13-Nov-2019 05:00 PM,technical_46431.pdf,1.0,135858.0,RAHUL THAKUR GOVT. CONTRACTOR,INR,"1,412,041",Finance,Summary,Swaroop Kumar,03-Dec-2019 04:51 PM,finance_46431.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,135589.0,BALAL,05-Nov-2019 03:05 PM,Rejected-AOC,Higher,26-Jan-2020 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135858.0,RAHUL THAKUR GOVT. CONTRACTOR,07-Nov-2019 07:29 PM,Accepted-AOC,Lowest,26-Jan-2020 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,135629.0,RAKESH KUMAR GOVT CONTRACTOR,06-Nov-2019 03:22 PM,Rejected-Technical,No Work Done,13-Nov-2019 05:05 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,135851.0,VINAY KUMAR,07-Nov-2019 06:25 PM,Rejected-AOC,Higher,26-Jan-2020 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,135805.0,vinod kumar,07-Nov-2019 11:41 AM,Rejected-AOC,Higher,26-Jan-2020 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
