Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,SUMMARY,Rattan Kumar Sharma,21-Jan-2020 03:48 PM,finance_48507.pdf,BOQ Comparative Chart,1.0,143947.0,atma ram,INR,"327,888",Technical,SUMMARY,Rattan Kumar Sharma,10-Jan-2020 03:05 PM,technical_48507.pdf,1.0,143947.0,atma ram,06-Jan-2020 02:41 PM,Accepted-AOC,AOC,28-Jan-2020 11:04 AM,Executive Engineer,Internal,Superintendent G-II DHD DAO Tender Assistant,Rattan Kumar Sharma,28-Jan-2020 11:03 AM,finsummary_48507.pdf (371.92 KB),28-Jan-2020,"INR 345,633",60.0,Rattan Kumar Sharma,28-Jan-2020 11:04 AM,83.pdf (648.00 KB),AOC,PWD,2019_PWD_33662_3,8862-8912 DATED 17.12.2019,C/O link road village Kajwa km 0/00 to 2/135,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,21-Jan-2020 12:53 PM,21-Jan-2020 01:00 PM,techsummary_48507.pdf (938.89 KB),AOC,"6,913",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,PWD,8862-8912 DATED 17.12.2019,2019_PWD_33662_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",26-Dec-2019 02:00 PM,10-Jan-2020 11:30 AM,26-Dec-2019 02:00 PM,09-Jan-2020 05:00 PM,NA ,NA ,26-Dec-2019 02:00 PM,09-Jan-2020 05:00 PM,21-Jan-2020 01:00 PM,C/O link road village Kajwa km 0/00 to 2/135,C/O Breast wall in PCC at RD 1/340 to 1/376 )under MMGSY 2019-20,Please refer Tender documents. ,NA ,"3,45,663",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,AOC
,,,,,,,,,,,,,,,,2.0,144401.0,Virender Pundir,09-Jan-2020 04:45 PM,Rejected-Finance,NOT THE LOWEST BIDDER,28-Jan-2020 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
