Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
27-Jan-2020,"INR 650,304",90.0,Rattan Kumar Sharma,27-Jan-2020 12:59 PM,77.pdf (634.00 KB),aoc,Executive Engineer,Internal,Superintendent G-II DHD DAO Tender Assistant,Rattan Kumar Sharma,27-Jan-2020 12:58 PM,finsummary_48216.pdf (431.24 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,10-Jan-2020 12:04 PM,10-Jan-2020 12:30 PM,techsummary_48216.pdf (599.81 KB),PWD,2019_PWD_33451_1,8710-60 DATED 10.12.2019,Installation of steel crash barrier along with edging Solan Meenus Road km. 61/0 to 92/0,1.0,143387.0,SURINDER KUMAR,INR,"727,733",Finance,SUMMARY,Rattan Kumar Sharma,15-Jan-2020 03:46 PM,finance_48216.pdf,BOQ Comparative Chart,Technical,Summary,Rattan Kumar Sharma,06-Jan-2020 01:17 PM,technical_48216.pdf,1,143293,ANIL KUMAR,01-Jan-2020 01:26 PM,Rejected-Technical,Not Qualified,10-Jan-2020 12:04 PM,AOC,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,Installation of steel crash barrier along with edging Solan Meenus Road km. 61/0 to 92/0,P/F W Metal beam crash barrier in km.90/040 to 90/140 with edging 090/040 to 90/090),Please refer Tender documents. ,NA ,"6,50,304",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,PWD,8710-60 DATED 10.12.2019,2019_PWD_33451_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,19-Dec-2019 02:00 PM,03-Jan-2020 11:30 AM,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,NA ,NA ,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,10-Jan-2020 12:30 PM,"13,000",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,DD - Demand Draft,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,143553,Ashok Kumar,02-Jan-2020 02:37 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 12:58 PM,AOC,,,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,143568,BHARAT BHUSHAN,02-Jan-2020 04:42 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 12:58 PM,AOC,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,143559,Dalip Singh Rana,02-Jan-2020 03:03 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 12:58 PM,AOC,,,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,143529,JAIPAL SINGH,02-Jan-2020 01:12 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 12:58 PM,AOC,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,143330,Joginder Singh,01-Jan-2020 09:48 AM,Rejected-Technical,Not Qualified,10-Jan-2020 12:04 PM,AOC,,,,,.pdf,26.7. FORM NO. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,143550,Rahul Chuhan,02-Jan-2020 02:25 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 12:58 PM,AOC,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,143527,SITA RAM,02-Jan-2020 12:56 PM,Rejected-Technical,Not Qualified,10-Jan-2020 12:04 PM,AOC,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,143387,SURINDER KUMAR,01-Jan-2020 02:09 PM,Accepted-AOC,aoc,27-Jan-2020 12:59 PM,AOC,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,143491,vijay singh thakur,01-Jan-2020 10:47 PM,Rejected-Technical,Not Qualified,10-Jan-2020 12:04 PM,AOC,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
