Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
26-Jan-2020,"INR 1,038,385",180.0,Swaroop Kumar,26-Jan-2020 03:10 PM,SatishMarahna.pdf (760.00 KB),AOC,EE,Internal,SUPDT/HDM/DAO,Swaroop Kumar,26-Jan-2020 01:00 PM,finsummary_46520.pdf (174.31 KB),EE,Internal,SUPDT/HDM/DAO,Swaroop Kumar,25-Nov-2019 06:08 PM,26-Nov-2019 03:30 PM,techsummary_46520.pdf (182.60 KB),PWD,2019_PWD_32358_1,PW/TDD/GA-NIT/2019- 7918 dt. 16.10.2019,C/O link road from lower Marhana to Shiv Mandir upper Marhana km. 0/0 to 1/500,Finance,finbid,Swaroop Kumar,26-Jan-2020 12:32 PM,finance_46520.pdf,BOQ Comparative Chart,1.0,135931.0,SATISH KUMAR,INR,"1,037,521",Technical,Tech,Swaroop Kumar,25-Nov-2019 05:51 PM,technical_46520.pdf,1.0,136062.0,JITENDER SINGH GOVT. CONTRACTOR,12-Nov-2019 07:30 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,1.0,DD - Demand Draft,500.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,C/O link road from lower Marhana to Shiv Mandir upper Marhana km. 0/0 to 1/500,formation cutting and R/Wall in km. 0/0 to 0/300 ). (Under MMGSY,Please refer Tender documents. ,NA ,"10,38,385",Civil Works,NA ,Tender,90.0,180.0,Tauni Devi,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi","21,000",Yes,fixed,,EE Tauni Devi,Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,PWD,PW/TDD/GA-NIT/2019- 7918 dt. 16.10.2019,2019_PWD_32358_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,30-Oct-2019 06:30 PM,13-Nov-2019 11:00 AM,30-Oct-2019 06:30 PM,13-Nov-2019 10:30 AM,NA ,NA ,30-Oct-2019 06:30 PM,13-Nov-2019 10:30 AM,26-Nov-2019 03:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,136067.0,MOHINDER PAL GOVT. CONTRACTOR,12-Nov-2019 07:49 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135917.0,PUNEET KUMAR GOVT CONTRACTOR,12-Nov-2019 03:57 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,135931.0,SATISH KUMAR,11-Nov-2019 01:36 PM,Accepted-AOC,Lowest,26-Jan-2020 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,136064.0,sonam soni,12-Nov-2019 07:33 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,136017.0,subhash chand,12-Nov-2019 07:49 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,135930.0,SWARNA SUNRISE,11-Nov-2019 12:39 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,135960.0,VINOD KUMAR GOVT CONT,12-Nov-2019 04:04 PM,Rejected-AOC,Higher,26-Jan-2020 03:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,AOC
