Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
Er Mahesh Kanwar,Internal,Lekh Ram Shandil HDM Satya Pal Sharma Supdt Leela Verma Sr Asstt,Mahesh Kanwar,02-Jan-2020 04:33 PM,finsummary_43237.pdf (336.87 KB),02-Jan-2020,"INR 3,256,466",180.0,Mahesh Kanwar,02-Jan-2020 04:41 PM,AOC1.pdf (657.00 KB),AOC,PWD,2019_PWD_29923_1,PW.THD.CB.Tender.2019- 3055-66 dt.28.6.2019,C.o Stadium at Shirgul Devta temple complex at Ghoond SH C.o Stag and steps for sitting in the Devta temple complex,Er Mahesh Kanwar,Internal,Satya Pal Sharma Supdt Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,31-Jul-2019 04:02 PM,31-Jul-2019 04:05 PM,techsummary_43237.pdf (393.31 KB),Technical,summary,Mahesh Kanwar,31-Jul-2019 03:56 PM,technical_43237.pdf,1.0,125418.0,Mohinder Verma,22-Jul-2019 05:05 PM,Accepted-AOC,Responsive,02-Jan-2020 04:41 PM,1.0,125418.0,Mohinder Verma,INR,"4,082,852",Finance,summary,Satish Chand,31-Jul-2019 04:43 PM,finance_43237.pdf,BOQ Comparative Chart,AOC,Executive Engineer,HP PWD Division Theog,"56,500",No,fixed,,EE Theog,HP PWD Theog,PWD,PW.THD.CB.Tender.2019- 3055-66 dt.28.6.2019,2019_PWD_29923_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),"1,500",EE Theog,HP PWD Theog,No,C.o Stadium at Shirgul Devta temple complex at Ghoond SH C.o Stag and steps for sitting in the Devta temple complex,C.o Stadium at Shirgul Devta temple complex at Ghoond SH C.o Stag and steps for sitting in the Devta temple complex,Please refer Tender documents. ,NA ,"32,56,466",Civil Works,NA ,Tender,90.0,180.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,08-Jul-2019 11:00 AM,23-Jul-2019 11:00 AM,08-Jul-2019 11:00 AM,22-Jul-2019 06:00 PM,NA ,NA ,08-Jul-2019 11:00 AM,22-Jul-2019 06:00 PM,31-Jul-2019 04:05 PM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,125472.0,Naresh Kumar,21-Jul-2019 07:00 PM,Rejected-Finance,Non Responsive,02-Jan-2020 04:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money deposit (as Schedule-F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,125568.0,Sandeep Chandel,22-Jul-2019 04:17 PM,Rejected-Technical,Non Responsive,31-Jul-2019 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (as per Performa given in General Rule No-19 Countersigned by EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
