Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
30-Jan-2020,"INR 2,644,970",730.0,Virender Kumar,30-Jan-2020 12:09 PM,Awarded.pdf (985.00 KB),Awarded,Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,04-Nov-2019 02:27 PM,finsummary_45826.pdf (207.64 KB),Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,25-Oct-2019 04:29 PM,29-Oct-2019 11:00 AM,techsummary_45826.pdf (368.69 KB),PWD,2019_PWD_31850_1,C/O Tehsil Office Building in 2nd floor at Combin,C/O Tehsil Office Building in 2nd floor at Combined Office Building at Jaisinghpur Distt. Kangra (H.P.),Finance,Summary,Virender Kumar,04-Nov-2019 02:24 PM,finance_45826.pdf,BOQ Comparative Chart,1.0,134134.0,chander pal rihal,INR,"3,207,613",Technical,Summary,Virender Kumar,25-Oct-2019 04:26 PM,technical_45826.pdf,1.0,134134.0,chander pal rihal,15-Oct-2019 04:03 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,30-Jan-2020 12:09 PM,AOC,PWD,C/O Tehsil Office Building in 2nd floor at Combin,2019_PWD_31850_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"47,500",Yes,fixed,,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,1.0,DD - Demand Draft,C/O Tehsil Office Building in 2nd floor at Combined Office Building at Jaisinghpur Distt. Kangra (H.P.),C/O Tehsil Office Building portion including Water supply and Sanitary Installation,Please refer Tender documents. ,NA ,"26,64,970",Civil Works - Buildings,NA ,Tender,120.0,730.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,30-Sep-2019 03:00 PM,16-Oct-2019 11:00 AM,30-Sep-2019 03:00 PM,15-Oct-2019 05:00 PM,NA ,NA ,30-Sep-2019 03:00 PM,15-Oct-2019 05:00 PM,29-Oct-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,500.0,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,134091.0,Govt. Contractor Raghav Singh Thakur,14-Oct-2019 06:41 PM,Rejected-Technical,Non Responsive,25-Oct-2019 04:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134190.0,Raj Kumar Govt. Contractor,15-Oct-2019 04:36 PM,Rejected-AOC,Rejected due to higher rates bidder L2,30-Jan-2020 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,134166.0,Sunil Walia,15-Oct-2019 02:53 PM,Rejected-AOC,Rejected due to higher rates bidder L3,30-Jan-2020 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in the shape of National saving NSC/TDA in any of the post office in HP Nationalized bank,,,,,AOC
