Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,2019_BBNDA_32763_1,BBNDA-06-ONLINE-2018-19 11846-56 DATE 18-11-19,Development of Ponds in nalagarh assembly Constitutency.( SH - Development of pond at Kaulanwala ),1.0,138769.0,MADAN SINGH (Govt. Contractor),INR,"2,131,549",Addl. CEO,Internal,EE,Parbarsar Singh,11-Dec-2019 04:04 PM,finsummary_47231.pdf (200.62 KB),1,139175,BHAJAN SINGH,06-Dec-2019 05:52 PM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,Addl. CEO,Internal,EE,Parbarsar Singh,10-Dec-2019 04:23 PM,10-Dec-2019 04:25 PM,techsummary_47231.pdf (288.09 KB),06-Jan-2020,"INR 2,458,614",120.0,Parbarsar Singh,07-Jan-2020 01:03 PM,MadanLal.pdf (453.00 KB),AOC,Technical,Technical Summary,Parbarsar Singh,10-Dec-2019 04:17 PM,technical_47231.pdf,Finance,Financial Summary,Parbarsar Singh,11-Dec-2019 03:31 PM,finance_47231.pdf,BOQ Comparative Chart,AOC,"EE BBNDA, BADDI","BBNDA, BADDI",Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,BBNDA-06-ONLINE-2018-19 11846-56 DATE 18-11-19,2019_BBNDA_32763_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,21-Nov-2019 11:00 AM,10-Dec-2019 11:30 AM,21-Nov-2019 11:00 AM,07-Dec-2019 05:00 PM,21-Nov-2019 11:00 AM ,07-Dec-2019 04:00 PM ,21-Nov-2019 11:00 AM,07-Dec-2019 05:00 PM,10-Dec-2019 04:25 PM,Development of Ponds in nalagarh assembly Constitutency.( SH - Development of pond at Kaulanwala ),Development of Ponds in nalagarh assembly Constitutency.( SH - Development of pond at Kaulanwala ),Please refer Tender documents. ,NA ,"24,58,614",Civil Works - Others,PONDS ,Tender,90.0,120.0,NALAGARH,174101.0,NA ,NA ,NA ,"BBNDA, BADDI",No ,No,"44,400",No,fixed,,"EE BBNDA, BADDI","BBNDA, BADDI",1.0,Key Dates Changed,Date,,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,NIT,500.0,"EE BBNDA, BADDI","BBNDA, BADDI",No,AOC
,,,,,,,,,,,,,,,2,138585,Chander Mohan Chawla,07-Dec-2019 02:29 PM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,3,139156,gobind sahib enterprises,06-Dec-2019 04:31 PM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,139191,Jagtar Singh,07-Dec-2019 11:37 AM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,139148,LAJJA RAM,06-Dec-2019 04:27 PM,Rejected-AOC,Reject,07-Jan-2020 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,138769,MADAN SINGH (Govt. Contractor),05-Dec-2019 01:14 PM,Accepted-AOC,Accept,07-Jan-2020 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,138728,mangla constructions,05-Dec-2019 10:35 AM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,139243,mustak,07-Dec-2019 02:43 PM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,138756,shubham govt.contractor,07-Dec-2019 01:23 PM,Rejected-AOC,Reject,07-Jan-2020 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,139186,SIMRAT CONSTRUCTION,07-Dec-2019 08:13 AM,Rejected-Finance,Reject,11-Dec-2019 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
