Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
400.0,"Executive Engineer, IPH Division, Paonta Sahib.",Paonta Sahib.,No,1.0,ICICI BANK,Executive Engineer,Irrigation and Public Health Division Paonta Sahib,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Paonta,Irrigation and Public Health,HP",5118-5217 datd 26.07.2019,2019_HPIPH_30696_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,06-Aug-2019 06:00 PM,19-Aug-2019 12:30 PM,06-Aug-2019 06:00 PM,19-Aug-2019 11:00 AM,06-Aug-2019 06:00 PM ,19-Aug-2019 11:00 AM ,06-Aug-2019 06:00 PM,19-Aug-2019 11:00 AM,21-Aug-2019 01:05 PM,"59,000",Yes,fixed,,"Executive Engineer, IPH Division, Paonta Sahib",Paonta Sahib.,"Augmentation/Remodeling of LIS Parduni in G.P. Parduni in Tehsil Paonta Sahib, District Sirmour HP",Replacement of A.C. Pressure Pipe with MSERW Pipe of 300mm dia Rising Main,Please refer to tender documents ,NA ,"34,08,658",Civil Works,NA ,Tender,120.0,180.0,Parduni,173031.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Documents,AOC,Superintending Engineer,Internal,EE (D) EE Paonta AE (D) CHD and Supdtt (WS),Ashwani Kumar Dhiman,30-Dec-2019 03:07 PM,finsummary_44215.pdf (996.32 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Paonta,Irrigation and Public Health,HP",2019_HPIPH_30696_1,5118-5217 datd 26.07.2019,"Augmentation/Remodeling of LIS Parduni in G.P. Parduni in Tehsil Paonta Sahib, District Sirmour HP",1.0,128286.0,Himalaya Enterprises,INR,"3,665,060",Executive Engineer,Internal,Divisional Accounts Officer and Tende Assistant,Ashwani Kumar Dhiman,21-Aug-2019 12:56 PM,21-Aug-2019 01:05 PM,techsummary_44215.pdf (385.00 KB),1,128285,DINESH KUMAR GUPTA,19-Aug-2019 07:45 AM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,01-Jan-2020,"INR 3,408,658",180.0,Ashwani Kumar Dhiman,01-Jan-2020 12:13 PM,Award.pdf (417.00 KB),Award Letter,Finance,Financial Bid Opening Summary,Ashwani Kumar Dhiman,21-Aug-2019 04:05 PM,finance_44215.pdf,BOQ Comparative Chart,Technical,Bid Opening Summery,Ashwani Kumar Dhiman,19-Aug-2019 07:07 PM,technical_44215.pdf,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E/Money as per NIT or Exexption of E/Money with affidavit about utlization of Exempted amount,AOC,,,,,,,,,,,,,,,,,,,,,,,2,128252,GAURAV SHARMA,18-Aug-2019 06:11 PM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN,GST and EPF Registration or Undertaking about EPF to be submitted before award",AOC,,,,,,,,,,,,,,,,,,,,,,,3,128286,Himalaya Enterprises,18-Aug-2019 09:28 PM,Accepted-AOC,Found Lowest bidder,01-Jan-2020 12:13 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of vald and eligible enlistment as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,4,128257,MAHOKAM SINGH,17-Aug-2019 07:56 PM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding carefully studied of all tender documents,AOC,,,,,,,,,,,,,,,,,,,,,,,5,128167,MANOJ BHARDWAJ,17-Aug-2019 02:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Aug-2019 07:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,6,128168,M/S Apurva Construction,17-Aug-2019 02:31 PM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,128245,M/S Sharma Enterpirses,18-Aug-2019 08:23 AM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,128295,Nil,18-Aug-2019 02:02 PM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,128247,RAMNIK THAKUR,19-Aug-2019 10:16 AM,Rejected-Finance,Not Found Lowest Bidder,30-Dec-2019 03:07 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,128260,RANJEET SINGH,17-Aug-2019 07:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Aug-2019 07:07 PM,,,,,,,,,,,,,,,,,,,AOC
