Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
Finance,Sum,Suresh Kumar Walia,12-Sep-2019 12:06 PM,finance_44206.pdf,BOQ Comparative Chart,1.0,128602.0,Harbhajan singh,INR,"7,363,261",Technical,Sum,Suresh Kumar Walia,11-Sep-2019 12:50 PM,technical_44206.pdf,1.0,128602.0,Harbhajan singh,21-Aug-2019 02:37 PM,Accepted-AOC,L1,20-Jan-2020 04:54 PM,Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,12-Sep-2019 12:09 PM,finsummary_44206.pdf (153.07 KB),20-Jan-2020,"INR 7,363,261",365.0,Suresh Kumar Walia,20-Jan-2020 04:54 PM,Award.pdf (892.00 KB),Award,PWD,2019_PWD_30692_1,PWD CIVIL-5890-5920-TANDA,C/O of 1 No. Type-IV Qtrs and 6 Nos Type-III Qtr for P.W.D. staff at Dr RPGMC Tanda (HP) (SH C/O 6 Nos Type-III Qtr for P.W.D. staff Qtrs including Water Supply and Sanitary Installation etc).,Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,11-Sep-2019 12:53 PM,11-Sep-2019 01:00 PM,techsummary_44206.pdf (756.93 KB),AOC,"96,100",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,"2,000",EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,07-Aug-2019 05:00 PM,22-Aug-2019 11:30 AM,07-Aug-2019 05:00 PM,21-Aug-2019 05:00 PM,NA ,NA ,07-Aug-2019 05:00 PM,21-Aug-2019 05:00 PM,11-Sep-2019 01:00 PM,PWD,PWD CIVIL-5890-5920-TANDA,2019_PWD_30692_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O of 1 No. Type-IV Qtrs and 6 Nos Type-III Qtr for P.W.D. staff at Dr RPGMC Tanda (HP) (SH C/O 6 Nos Type-III Qtr for P.W.D. staff Qtrs including Water Supply and Sanitary Installation etc).,C/O of 1 No. Type-IV Qtrs and 6 Nos Type-III Qtr for P.W.D. staff at Dr RPGMC Tanda (HP) (SH C/O 6 Nos Type-III Qtr for P.W.D. staff Qtrs including Water Supply and Sanitary Installation etc).,Please refer Tender documents. ,NA ,"63,55,344",Civil Works - Buildings,NA ,Tender,120.0,365.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as per SBD,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,128545.0,M/s Surindera Traders,20-Aug-2019 03:53 PM,Rejected-Technical,Not fulfill criteria,11-Sep-2019 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form in shape of DD,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,128631.0,SUNIL DUTT DHIMAN,21-Aug-2019 03:25 PM,Rejected-AOC,L2,20-Jan-2020 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that contractor has not more than 2 works in hand,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and retired gazetted officer,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,AOC
