Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage
Diretor Of Research Cum Nodal Officer,Internal,"Devender Gupta, H R Gautam, J C Sharma, J S Chandel, P L Sharma, Anil Handa, Rajesh Kaushal, Uday Sharma, Bhupesh Gupta, Shalini Verma, Satish Sharma",Pawan Sharma,19-Jan-2020 03:17 PM,finsummary_36015.pdf (255.00 KB),Dr. Yashwant Singh Parmar University of Horticulture and Forestry||Directorate of Research||Director of Research cum Nodal Officer,2019_YSPU_25703_1,1054 dated 01.01.2019 (Package-5),Supply of Major Scientific Equipments,19-Jan-2020,"INR 39,600,000",90.0,Pawan Sharma,19-Jan-2020 03:42 PM,AOC-5.pdf (3179.00 KB),AOC,1.0,107267.0,TECHCHEM SOLUTIONS PVT LTD,INR,"9,343,850",Technical,Bid Opening Summary,Rajeev Sharma,27-Jun-2019 02:35 PM,technical_36015.pdf,Director of Research cum Nodal Officer,Internal,,Rajeev Sharma,27-Jun-2019 03:12 PM,03-Jul-2019 11:00 AM,techsummary_36015.pdf (4427.14 KB),1,112598,AGILENT TECHNOLOGIES,13-Feb-2019 07:07 PM,Accepted-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,Finance,Bid Opening Summary,Rajeev Sharma,03-Jul-2019 01:51 PM,finance_36015.pdf,BOQ Comparative Chart,AOC,"50,000",No,fixed,,"Director of Research-cum-Nodal Officer, HP-HDP",YSPU,"Directorate of Research, PIU, HPHDP","Directorate of Research, PIU, HPHDP, Dr YS Parmar University of Horticulture and Forestry, Nauni, Solan",1.0,Corrigendum,Date,,Dr. Yashwant Singh Parmar University of Horticulture and Forestry||Directorate of Research||Director of Research cum Nodal Officer,1054 dated 01.01.2019 (Package-5),2019_YSPU_25703_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,03-Jan-2019 05:00 PM,14-Feb-2019 12:00 PM,03-Jan-2019 05:00 PM,14-Feb-2019 11:00 AM,NA ,NA ,03-Jan-2019 05:00 PM,14-Feb-2019 11:00 AM,03-Jul-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Scanned copies of Fee,Supply of Major Scientific Equipments,Supply of Major Scientific Equipments,Please refer Tender documents. ,NA ,0.0,Laboratory and scientific equipment,NA ,Tender,60.0,90.0,"Dr YS Parmar UHF, Nauni, Solan",173230.0,NA ,NA ,NA ,"Directorate of Research, PIU, HPHDP",No ,No,"5,000","Director of Research-cum-Nodal Officer, HP-HDP",YSPU,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,2.0,109375.0,Eppendorf India Pvt Ltd,INR,"462,000",,,,,,,,,,,,,2,112522,Anton Paar India Pvt.Ltd.,13-Feb-2019 03:34 PM,Rejected-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of Bid Security,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,,,,,,3.0,110168.0,International Scientific and Surgicals,INR,"4,669,506",,,,,,,,,,,,,3,112502,Bash Chemo Agencies,13-Feb-2019 04:31 PM,Accepted-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical documents/eligibility information etc.,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee,AOC
,,,,,,,,,,,,,,,,,4.0,112318.0,Novus Bioscience,INR,"2,630,000",,,,,,,,,,,,,4,109375,Eppendorf India Pvt Ltd,28-Jan-2019 03:47 PM,Accepted-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ/Financial Bid,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,5.0,112502.0,Bash Chemo Agencies,INR,"3,261,410",,,,,,,,,,,,,5,112058,INDITECH GENESYS,13-Feb-2019 11:54 AM,Rejected-Technical,Item to be retendered,27-Jun-2019 03:12 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,6.0,112598.0,AGILENT TECHNOLOGIES,INR,"21,540,000",,,,,,,,,,,,,6,110168,International Scientific and Surgicals,05-Feb-2019 01:24 PM,Accepted-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,111260,I R Technology Services Pvt Ltd,12-Feb-2019 06:53 PM,Rejected-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,111580,Matrix Enviro Care,13-Feb-2019 11:24 PM,Rejected-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,112318,Novus Bioscience,13-Feb-2019 05:05 PM,Accepted-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,112578,PerkinElmer India Pvt Ltd,13-Feb-2019 05:39 PM,Rejected-AOC,Item wise rate quoted,19-Jan-2020 03:42 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
