S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,143818.0,Joginder Singh,INR,"365,972",Finance,SUMMARY,Rattan Kumar Sharma,21-Jan-2020 03:48 PM,finance_48506.pdf,BOQ Comparative Chart,Technical,SUMMARY,Rattan Kumar Sharma,10-Jan-2020 03:04 PM,technical_48506.pdf,1.0,143953.0,Ashok Kumar,06-Jan-2020 02:18 PM,Rejected-Technical,Not Qualified,21-Jan-2020 12:52 PM,Executive Engineer,Internal,Superintendent G-II DHD DAO Tender Assistant,Rattan Kumar Sharma,28-Jan-2020 11:12 AM,finsummary_48506.pdf (375.71 KB),28-Jan-2020,"INR 369,447",60.0,Rattan Kumar Sharma,28-Jan-2020 11:13 AM,84.pdf (646.00 KB),aoc,PWD,2019_PWD_33662_2,8862-8912 DATED 17.12.2019,C/O link road village Sail km 0/00 to 2/400,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,21-Jan-2020 12:52 PM,21-Jan-2020 01:00 PM,techsummary_48506.pdf (1009.28 KB),AOC,PWD,8862-8912 DATED 17.12.2019,2019_PWD_33662_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O link road village Sail km 0/00 to 2/400,C/O Retaining wall in PCC at RD 2/090 to 2/104 )Under MMGSY 2019-20,Please refer Tender documents. ,NA ,"3,69,447",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,"7,389",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,26-Dec-2019 02:00 PM,10-Jan-2020 11:30 AM,26-Dec-2019 02:00 PM,09-Jan-2020 05:00 PM,NA ,NA ,26-Dec-2019 02:00 PM,09-Jan-2020 05:00 PM,21-Jan-2020 01:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,143818.0,Joginder Singh,04-Jan-2020 06:35 PM,Accepted-AOC,aoc,28-Jan-2020 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,144336.0,vijay singh thakur,08-Jan-2020 09:32 PM,Rejected-Finance,NOT THE LOWEST BIDDER,28-Jan-2020 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FULL COPY OF LATEST CONTRACTORS REGISTRATION,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,144406.0,Virender Pundir,09-Jan-2020 04:59 PM,Rejected-Technical,Not Qualified,21-Jan-2020 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,AOC
