Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
C/O 9/5 Home Guard Compay Building at Shahpur,(SH- C/O Building portion W.S. and S.I. C/O septic tank and C/O rain water harvesting system),Please refer Tender documents. ,NA ,"18,86,299",Civil Works - Buildings,NA ,Tender,120.0,270.0,Work,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,1.0,DD - Demand Draft,PWD,4923-72 dated 31-07-2019,2019_PWD_31157_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F(DD required only Nationalized Bank),500.0,"Executive Engineer H.P.PWD., Kangra",Kangra,Yes,31-Aug-2019 10:00 AM,16-Sep-2019 11:30 AM,31-Aug-2019 10:00 AM,16-Sep-2019 11:00 AM,NA ,NA ,31-Aug-2019 10:00 AM,16-Sep-2019 11:00 AM,15-Oct-2019 04:45 PM,"35,800",No,fixed,,"Executive Engineer H.P.PWD., Kangra",Kangra,AOC,Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Ajay Mahajan HDM Sh. Jiwan Singh Supdt.,Sanjiv Mahajan,15-Oct-2019 04:42 PM,15-Oct-2019 04:45 PM,techsummary_44842.pdf (121.48 KB),PWD,2019_PWD_31157_1,4923-72 dated 31-07-2019,C/O 9/5 Home Guard Compay Building at Shahpur,10-Jan-2020,"INR 1,886,299",270.0,Sanjiv Mahajan,10-Jan-2020 11:35 AM,Award.pdf (332.00 KB),Award,Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Ajay Mahajan HDM Sh. Jiwan Singh Supdt.,Sanjiv Mahajan,10-Jan-2020 11:32 AM,finsummary_44842.pdf (45.97 KB),1.0,130859.0,ASHOK KUMAR,13-Sep-2019 12:44 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jan-2020 11:32 AM,Technical,Opened,Sanjiv Mahajan,15-Oct-2019 03:58 PM,technical_44842.pdf,Finance,Opened,Sanjiv Mahajan,10-Jan-2020 11:30 AM,finance_44842.pdf,BOQ Comparative Chart,1.0,130918.0,KARAN DHADWAL,INR,"2,334,087",AOC
,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130919.0,Ashwani,13-Sep-2019 10:56 PM,Rejected-Finance,Rate quoted higher side of L1,10-Jan-2020 11:32 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,130918.0,KARAN DHADWAL,13-Sep-2019 10:25 PM,Accepted-AOC,Award,10-Jan-2020 11:35 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,129997.0,SUNIL BALOURIA,06-Sep-2019 06:25 PM,Rejected-Technical,Non-Responsive,15-Oct-2019 04:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
