S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",8461-8511 dated 20.10.2019,2019_HPIPH_32219_1,Yes,Open Tender,Turn-key,Works,3.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE Dharampur Bharari,Dharampur,No,Engineering procurement construction testing commissioning trial run of various components of LWSS to various habitations in GP Darwar in Tehsil Dharampur District Mandi HP under Jal Jeevan Mission Har Ghar Ko Nal se Jal,"in single package on Turn-key job basis including trial and testing run, defect and liability period as 1 year after physical completion of all components of the scheme including SOP connection as certified by Engineer in Charge of the entire schem",Please refer Tender documents. ,NA ,"7,45,14,792",Civil Works - Water Works,NA ,Tender,180.0,270.0,Kandapattan,175040.0,Hamirpur ,Chief Engineer Hamirpur Zone IPH Department Hamirpur ,08-Nov-2019 11:00 AM ,Dharampur Bharari,No ,No,"7,77,650",No,fixed,,EE Dharampur Bharari,Dharampur,1.0,Fee,.pdf,Cost of tender form in the shape of Demand Draft of Rs.2500/-,Executive Engineer,IPH Division Dharampur Bharari,21-Oct-2019 06:00 PM,14-Nov-2019 12:30 PM,21-Oct-2019 06:00 PM,13-Nov-2019 05:00 PM,21-Oct-2019 06:00 PM ,05-Nov-2019 05:00 PM ,21-Oct-2019 06:00 PM,13-Nov-2019 05:00 PM,22-Nov-2019 10:00 AM,AOC,Superintending Engineer,Internal,Executive Engineer (Design) EE Dharampur Bharari CHD Supdt Gr-I,Mukesh Kumar Hira,22-Nov-2019 09:58 AM,22-Nov-2019 10:00 AM,techsummary_46341.pdf (1102.47 KB),1.0,135981.0,HARJEET SINGH,11-Nov-2019 08:34 PM,Rejected-AOC,2nd lowest,09-Jan-2020 02:07 PM,Finance,proceeding,Mukesh Kumar Hira,09-Jan-2020 01:55 PM,finance_46341.pdf,BOQ Comparative Chart,Technical,minutes of meeting,Mukesh Kumar Hira,22-Nov-2019 09:56 AM,technical_46341.pdf,09-Jan-2020,"INR 74,514,792",270.0,Mukesh Kumar Hira,09-Jan-2020 02:07 PM,awardletter.pdf (5560.00 KB),chief Engineer Hamirpur Zone,Internal,,Mukesh Kumar Hira,09-Jan-2020 02:04 PM,finsummary_46341.pdf (9413.56 KB),1.0,135991.0,Unipro Techno Infrastructure Pvt Ltd,INR,"109,734,287","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",2019_HPIPH_32219_1,8461-8511 dated 20.10.2019,Engineering procurement construction testing commissioning trial run of various components of LWSS to various habitations in GP Darwar in Tehsil Dharampur District Mandi HP under Jal Jeevan Mission Har Ghar Ko Nal se Jal,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,,,,,,,,AOC,,,,,,,,2.0,135968.0,The Spunpipe and Construction Co Baroda Pvt Ltd,13-Nov-2019 10:00 AM,Rejected-AOC,3rd lowest,09-Jan-2020 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax/EPF/GST registration,,,,,,,,,,,,AOC,,,,,,,,3.0,135991.0,Unipro Techno Infrastructure Pvt Ltd,12-Nov-2019 11:23 AM,Accepted-AOC,1st lowest,09-Jan-2020 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, experience, annum turn over and other eligibility criteria as per Pre qualification",,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied tender documents,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money only in the shape of small saving instruments fixed deposit in bank,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make/model of proposed pumping machinery alongwith the characteristic curves,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of booster stage/complete scheme,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
