S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
1.0,142903.0,ANIL KUMAR,INR,"2,659,873",Finance,SUMMARY,Rattan Kumar Sharma,15-Jan-2020 03:43 PM,finance_48204.pdf,BOQ Comparative Chart,Technical,Summary,Rattan Kumar Sharma,06-Jan-2020 01:09 PM,technical_48204.pdf,1.0,142903.0,ANIL KUMAR,29-Dec-2019 01:51 PM,Accepted-AOC,aoc,27-Jan-2020 01:22 PM,27-Jan-2020,"INR 2,157,081",365.0,Rattan Kumar Sharma,27-Jan-2020 01:22 PM,82.pdf (676.00 KB),aoc,Executive Engineer,Internal,Superintendent G-II DHD DAO Tender Assistant,Rattan Kumar Sharma,27-Jan-2020 01:21 PM,finsummary_48204.pdf (395.94 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,10-Jan-2020 11:47 AM,10-Jan-2020 12:30 PM,techsummary_48204.pdf (1014.40 KB),PWD,2019_PWD_33443_1,8645-95 DATED 10.12.19,Construction of Residential accommodation for PWD Staff at Sangrah,AOC,"39,900",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,PWD,8645-95 DATED 10.12.19,2019_PWD_33443_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Residential accommodation for PWD Staff at Sangrah,C/O Type I quarter 02 Nos along with water supply and sanitary installation in first floor.),Please refer Tender documents. ,NA ,"21,57,081",Civil Works,NA ,Tender,90.0,365.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,19-Dec-2019 02:00 PM,03-Jan-2020 11:30 AM,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,NA ,NA ,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,10-Jan-2020 12:30 PM,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",500.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,143566.0,BHARAT BHUSHAN,02-Jan-2020 04:32 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,143435.0,RANBEER SINGH,01-Jan-2020 04:27 PM,Rejected-Technical,Not Qualified,10-Jan-2020 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,,,AOC
,,,,,,,,,,,,,,,,4.0,143575.0,VIJAY KUMAR,02-Jan-2020 04:09 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. Form 8,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,AOC
