Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",PWD,8645-95 DATED 10.12.19,2019_PWD_33443_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical Maintenance release of financial incentive under PMGSY Package No. HP-10-07 for the year 2019-20 for Kharkoli to Rajana km 0/0 to 4/0,"Providing and laying 25mm thick Bitumen Concrete including 90 m road side drain in km 0/0 to 0/915, C/O PCC Retaining wall in km 0/805 to 0/822 and Breast wall in km 0/795 to 0/810)",Please refer Tender documents. ,NA ,"10,25,644",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,DD - Demand Draft,500.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,"20,600",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,Corrigendum,Other,,19-Dec-2019 02:00 PM,03-Jan-2020 11:30 AM,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,NA ,NA ,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,10-Jan-2020 01:15 PM,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,AOC,1.0,143379.0,Surender Singh,INR,"977,779",Finance,SUMMARY,Rattan Kumar Sharma,15-Jan-2020 03:40 PM,finance_48214.pdf,BOQ Comparative Chart,1.0,143516.0,Avtar Singh,02-Jan-2020 12:35 PM,Rejected-Technical,Not Qualified,10-Jan-2020 01:11 PM,1.0,Corrigendum,Corrigendum,10-Jan-2020 12:55 PM,Corrigendum.pdf ,181.02,Technical Opening,Technical,SUMMARY,Rattan Kumar Sharma,10-Jan-2020 01:07 PM,technical_48214.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DHD DAO,Rattan Kumar Sharma,10-Jan-2020 01:11 PM,10-Jan-2020 01:15 PM,techsummary_48214.pdf (539.01 KB),PWD,2019_PWD_33443_7,8645-95 DATED 10.12.19,Periodical Maintenance release of financial incentive under PMGSY Package No. HP-10-07 for the year 2019-20 for Kharkoli to Rajana km 0/0 to 4/0,27-Jan-2020,"INR 1,025,644",90.0,Rattan Kumar Sharma,27-Jan-2020 01:19 PM,81.pdf (657.00 KB),aoc,Executive Engineer,Internal,Superintendent G-II DHD DAO TENDER ASSISTANT,Rattan Kumar Sharma,27-Jan-2020 01:18 PM,finsummary_48214.pdf (413.90 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,AOC,,,,,,,,,,,,2.0,143539.0,DESH RAJ,02-Jan-2020 01:41 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,AOC,,,,,,,,,,,,3.0,143511.0,M/S SARVJEET SINGH,02-Jan-2020 11:44 AM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",AOC,,,,,,,,,,,,4.0,143379.0,Surender Singh,01-Jan-2020 01:43 PM,Accepted-AOC,aoc,27-Jan-2020 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. Form 8,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
