S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,133858.0,Unipro Techno Infrastructure Pvt Ltd,INR,"274,847,527","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",2019_HPIPH_31755_1,7282-7342 dated 25.09.2019,Engineering procurement construction testing commissioning trial run of various components of LWS to 8 nos Panchyats Sandhole Neri Ghanala Sohar Kothwan Dhalara and Beri in Tehsil Sandhole Distt Mandi HP under Jal Jeevan mission,Ergineer in chief,Internal,,Mukesh Kumar Hira,08-Jan-2020 12:20 PM,finsummary_45702.pdf (3413.58 KB),Technical,Summary of bid,Lekh Raj Sharma,21-Oct-2019 11:16 AM,None,Finance,proceeding,Lekh Raj Sharma,08-Jan-2020 12:10 PM,finance_45702.pdf,BOQ Comparative Chart,08-Jan-2020,"INR 210,933,244",548.0,Mukesh Kumar Hira,08-Jan-2020 12:33 PM,AWARDLETTER.pdf (9289.00 KB),1.0,133855.0,R K ENGINNERS SALES LTD,15-Oct-2019 03:31 PM,Rejected-AOC,third lowest,08-Jan-2020 12:33 PM,Chief Engineer,Internal,Superintending Engineer Hamirpur Superintending Engineer Design Hamirpur Zone Executive Engineer Design Hamirpur Zone Executive Engineer Dharampur Bharari AE Design,Mukesh Kumar Hira,21-Oct-2019 12:45 PM,21-Oct-2019 12:50 PM,techsummary_45702.pdf (1363.41 KB),AOC,1.0,ICICI BANK,"21,41,832",No,fixed,,EE Dharampur Bharari,Dharampur,1.0,Corrigendum,Other,,25-Sep-2019 06:00 PM,16-Oct-2019 12:30 PM,25-Sep-2019 06:00 PM,15-Oct-2019 05:00 PM,25-Sep-2019 06:00 PM ,15-Oct-2019 05:00 PM ,25-Sep-2019 06:00 PM,15-Oct-2019 05:00 PM,21-Oct-2019 12:50 PM,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",7282-7342 dated 25.09.2019,2019_HPIPH_31755_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Both(Online/Offline),No,No,No,Engineering procurement construction testing commissioning trial run of various components of LWS to 8 nos Panchyats Sandhole Neri Ghanala Sohar Kothwan Dhalara and Beri in Tehsil Sandhole Distt Mandi HP under Jal Jeevan mission,Single package on Turn Key job basis including trial and testing run defect and liability period of one year after physical completion of all components of the scheme including SOP connection including operation and maintenance for 5 years,Please refer tender Document ,NA ,"21,09,33,244",Civil Works,NA ,Tender,180.0,548.0,Sandhole,176090.0,Hamirpur HP ,Chief Engineer IPH Hamirpur Zone office at Hamirpur HP ,09-Oct-2019 11:00 AM ,Dharampur Bharari,No ,No,"2,500",EE Dharampur Bharari,Dharampur,No,Exrcutive Engineer,Executive Engineer IPH Division Dharampur Bharari Distt Mandi HP,1.0,Fee,.pdf,Cost of tender form in the shape of e- payment or Demand Draft of Rs. 2500/-,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133848.0,The Spunpipe and Construction Co Baroda Pvt Ltd,15-Oct-2019 01:22 PM,Rejected-AOC,second lowest,08-Jan-2020 12:33 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with IPH Department in appropriate class and latest renewal thereof,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,133858.0,Unipro Techno Infrastructure Pvt Ltd,15-Oct-2019 01:27 PM,Accepted-AOC,1st lowest,08-Jan-2020 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income tax/EPF/GST registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Wok done, experience, annual turnover and other eligibility criteria as per Pre qualification",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding Digital signature certificate (DSC) of the person authorized,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied tender documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money through e- payment or shape of FDR, small saving instruments from nationalised Bank",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make/ Model of the proposed pumping machinery along with the characteristic curves,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of Booster stage and R/Main G/ Main mains as per site condition along with contour map,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ ( Finance),AOC
