Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,SUMMARY,Rattan Kumar Sharma,15-Jan-2020 03:44 PM,finance_48207.pdf,BOQ Comparative Chart,1.0,143072.0,SANDEEP SHARMA,INR,"309,064",Technical,Summary,Rattan Kumar Sharma,06-Jan-2020 01:09 PM,technical_48207.pdf,1,143555,Ashok Kumar,02-Jan-2020 02:43 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:07 PM,Executive Engineer,Internal,Superintendent G-II DHD DAO Tender Assistnat,Rattan Kumar Sharma,27-Jan-2020 01:07 PM,finsummary_48207.pdf (417.09 KB),27-Jan-2020,"INR 347,666",90.0,Rattan Kumar Sharma,27-Jan-2020 01:08 PM,79.pdf (660.00 KB),aoc,PWD,2019_PWD_33443_3,8645-95 DATED 10.12.19,Construction of link road Pipli Ghat Bag Bounal km 0/0 to 2/00,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,10-Jan-2020 11:51 AM,10-Jan-2020 12:30 PM,techsummary_48207.pdf (1974.97 KB),AOC,"7,000",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,PWD,8645-95 DATED 10.12.19,2019_PWD_33443_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,Construction of link road Pipli Ghat Bag Bounal km 0/0 to 2/00,C/o Breast wall in PCC from km 1/840 to 1/880 and improvement of curve form km 1/240 to 1/310),Please refer Tender documents. ,NA ,"3,47,666",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",19-Dec-2019 02:00 PM,03-Jan-2020 11:30 AM,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,NA ,NA ,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,10-Jan-2020 12:30 PM,AOC
,,,,,,,,,,,,,,,,2,143528,Avtar Singh,02-Jan-2020 12:55 PM,Rejected-Technical,Not Qualified,10-Jan-2020 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,143502,BALBIR SINGH,02-Jan-2020 11:20 AM,Rejected-Technical,Not Qualified,10-Jan-2020 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,143545,DESH RAJ,02-Jan-2020 04:40 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,143217,Khajan Singh,31-Dec-2019 04:44 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,143554,Nikka Ram,02-Jan-2020 02:42 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,143556,RANDEEP SINGH,02-Jan-2020 02:52 PM,Rejected-Technical,Not Qualified,10-Jan-2020 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,143072,SANDEEP SHARMA,30-Dec-2019 07:00 PM,Accepted-AOC,aoc,27-Jan-2020 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,143531,Som Prakash,02-Jan-2020 01:03 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,143494,vijay singh thakur,01-Jan-2020 11:54 PM,Rejected-Technical,Not Qualified,10-Jan-2020 11:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,143572,VIJENDER SHARMA,02-Jan-2020 04:17 PM,Rejected-Finance,NOT THE LOWEST BIDDER,27-Jan-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
