Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Financial_Evaluation,Virender Kumar,04-Sep-2019 11:30 AM,finance_44103.pdf,BOQ Comparative Chart,1.0,127877.0,M/S BALDEV KUMAR GOVT. CONTRACTOR,INR,"21,101,323",Technical,Summary,Virender Kumar,29-Aug-2019 02:41 PM,technical_44103.pdf,1.0,127148.0,BALWANT SINGH,13-Aug-2019 06:33 PM,Rejected-AOC,Rejected due to higher rates bidder L3,24-Jan-2020 03:25 PM,Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,24-Jan-2020 03:21 PM,finsummary_44103.pdf (226.75 KB),24-Jan-2020,"INR 18,599,415",730.0,Virender Kumar,24-Jan-2020 03:25 PM,Awarded.pdf (547.00 KB),Awarded,PWD,2019_PWD_30617_1,C/O Add. Accom 50 bedded Hospital at Jaisinghpur,C/O Additional Accommodation 50 bedded Hospital at Jaisinghpur Distt. Kangra (HP),Executive Engineer,Internal,"Executive Engineer, Superintendent G-II, HDM, Sr. Assistant",Virender Kumar,29-Aug-2019 02:52 PM,30-Aug-2019 11:00 AM,techsummary_44103.pdf (471.31 KB),AOC,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,PWD,C/O Add. Accom 50 bedded Hospital at Jaisinghpur,2019_PWD_30617_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"2,18,500",Yes,fixed,,Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,01-Aug-2019 03:00 PM,16-Aug-2019 11:00 AM,01-Aug-2019 03:00 PM,15-Aug-2019 05:00 PM,NA ,NA ,01-Aug-2019 03:00 PM,15-Aug-2019 05:00 PM,30-Aug-2019 11:00 AM,"5,000",Executive Engineer HP PWD Division Jaisinghpur,Jaisinghpur,Yes,C/O Additional Accommodation 50 bedded Hospital at Jaisinghpur Distt. Kangra (HP),Construction of Main building including Water supply Sanitary and Rain water Harvesting system,Please refer Tender documents. ,NA ,"1,85,99,415",Civil Works - Buildings,NA ,Tender,120.0,730.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,127877.0,M/S BALDEV KUMAR GOVT. CONTRACTOR,15-Aug-2019 01:26 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,24-Jan-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,127878.0,Ravi Kumar,15-Aug-2019 02:23 PM,Rejected-AOC,Rejected due to higher rates bidder L2,24-Jan-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done detail / work in hand in last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,127838.0,SANDHIR MALHI,14-Aug-2019 03:40 PM,Rejected-AOC,Rejected due to higher rates bidder L4,24-Jan-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Bid capacity in similar work last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,127783.0,vinay kumar gupta,15-Aug-2019 10:02 AM,Rejected-AOC,Rejected due to higher rates bidder L5,24-Jan-2020 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that the contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
