Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Chief Engineer,Internal,,Mukesh Kumar Hira,05-Dec-2019 01:13 PM,05-Dec-2019 03:00 PM,techsummary_46662.pdf (2101.79 KB),1.0,137603.0,HARJEET SINGH,26-Nov-2019 06:16 PM,Rejected-AOC,2nd lowest,18-Jan-2020 10:07 AM,18-Jan-2020,"INR 699,617,939",728.0,Mukesh Kumar Hira,18-Jan-2020 10:07 AM,awardletter.pdf (8473.00 KB),Finance,proceeding,Mukesh Kumar Hira,18-Jan-2020 09:57 AM,finance_46662.pdf,BOQ Comparative Chart,Technical,minutes of meeting,Mukesh Kumar Hira,05-Dec-2019 01:11 PM,technical_46662.pdf,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",2019_HPIPH_32436_1,9329-9378 dated 04.11.2019,"Engineering, Procurement, Construction, Testing, Commissioning, Trial Run and Operation and Maintenance of various components of Tourkhola and Multi Villages Piped Water Supply Scheme for Part of Dharampur Block of Mandi District",1.0,137594.0,Unipro Techno Infrastructure Pvt Ltd,INR,"907,060,392",Engineer in Chief,Internal,,Mukesh Kumar Hira,18-Jan-2020 10:00 AM,finsummary_46662.pdf (1421.05 KB),AOC,1.0,Corrigendum,Date,,Executive Engineer,IPH Division Dharampur Bharari,"Engineering, Procurement, Construction, Testing, Commissioning, Trial Run and Operation and Maintenance of various components of Tourkhola and Multi Villages Piped Water Supply Scheme for Part of Dharampur Block of Mandi District",under Jal Jeevan Mission (Har Ghar Ko Nal se Jal) for ultimate capacity of bringing 3.78 MLD treated water (16 hours of pumping) from the source Beas River (percolation wells) for 92 villages of Tourkhola area of Dharampur Block in single package,Please refer Tender documents. ,NA ,"69,96,17,939",Civil Works - Water Works,NA ,Tender,180.0,728.0,Sandhole,176090.0,Jal Shakti Bhawan Tutikandi Shimla ,Engineer in Chief IPH Department Jal Shakti Bhawan Tutikandi Shimla ,19-Nov-2019 11:00 AM ,Dharampur Bharari,No ,No,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",9329-9378 dated 04.11.2019,2019_HPIPH_32436_1,Yes,Open Tender,Turn-key,Works,3.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,04-Nov-2019 06:00 PM,28-Nov-2019 12:30 PM,04-Nov-2019 06:00 PM,27-Nov-2019 05:00 PM,04-Nov-2019 06:00 PM ,16-Nov-2019 02:00 PM ,04-Nov-2019 06:00 PM,27-Nov-2019 05:00 PM,05-Dec-2019 03:00 PM,"69,96,179",No,fixed,,EE Dharampur Bharari,Dharampur,1.0,Fee,.pdf,Cost of tender form in the shape of Demand Draft or e-payment of Rs.2500/-,"2,500",EE Dharampur Bharari,Dharampur,No,AOC
,,,,,,,2.0,137528.0,Maha Shree Infrastructure,25-Nov-2019 03:58 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Dec-2019 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,,,,,AOC
,,,,,,,3.0,137594.0,Unipro Techno Infrastructure Pvt Ltd,27-Nov-2019 04:00 PM,Accepted-AOC,1st lowest,18-Jan-2020 10:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax/EPF/GST registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, experience, annum turn over and other eligibility criteria as per Pre qualification",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied tender documents,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money only in the shape of small saving instruments fixed deposit or e-payment,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Detailed proposal alongwith drawings of the proposed percolation well,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Make/model of the proposed pumping machinery alongwith the characteristic curves,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of Booster stage/complete scheme as per the site condition,,,,,AOC
