Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Jan-2020,"INR 634,762,880",730.0,Anil Parmar,29-Jan-2020 03:36 PM,HP201819169.pdf (288.00 KB),Er. D.S.Dehal CE MZ,Internal,Er. Bishan Dass SE D Er. Vijay Chaudhary SE Mandi Er. Anil Parmar EE D Er. K.K.Kaushal EE Seraj Sh. Paras Ram Chauhan JCFA,Anil Parmar,28-Jan-2020 01:57 PM,finsummary_47518.pdf (721.99 KB),Er. D.S.Dehal CE MZ,Internal,Er. Bishan Dass SE D Er. Vijay Kumar SE Mandi Er. Anil Parmar EE D Er. K.K.Kaushal EE Seraj Sh. Paras Ram Chauhan JCFA,Anil Parmar,03-Jan-2020 05:51 PM,10-Jan-2020 11:00 AM,techsummary_47518.pdf (1804.39 KB),PWD,2019_PWD_32982_1,No.PW.SRJ/TA/Pub/2019- 12821-24 dated 07.11.2019,Improvement and Strengthening of Thalout Panjain Thachi Narain Gallu Shetadhar Chet Chhiuni Lambathach road Km. 0/000 to 75/000 (SH- Section Thachi to Lambathach Km 25/000 to 67/500) Under CRF Job No HP-2018-19-169,Finance,fbosummarycrfhp-08-169,Krishan Kumar Kaushal,10-Jan-2020 04:55 PM,finance_47518.pdf,BOQ Comparative Chart,1.0,139975.0,GARG SONS ESTATE PROMOTERS PVT LTD,INR,"634,762,880",Technical,bosummary,Krishan Kumar Kaushal,13-Dec-2019 04:18 PM,technical_47518.pdf,1.0,139975.0,GARG SONS ESTATE PROMOTERS PVT LTD,12-Dec-2019 09:15 PM,Accepted-AOC,Being L1,29-Jan-2020 03:36 PM,AOC,"12,000",EE Seraj at janjehli,Seraj at janjehli,Yes,PWD,No.PW.SRJ/TA/Pub/2019- 12821-24 dated 07.11.2019,2019_PWD_32982_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,29,94,000",Yes,fixed,,EE Seraj at janjehli,Seraj at janjehli,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Bid security in the from specified in section 8,EE Janjehli,Executive Engineer Seraj Division HP PWD Janjehli,Improvement and Strengthening of Thalout Panjain Thachi Narain Gallu Shetadhar Chet Chhiuni Lambathach road Km. 0/000 to 75/000 (SH- Section Thachi to Lambathach Km 25/000 to 67/500) Under CRF Job No HP-2018-19-169,Improvement and Strengthening of Thalout Panjain Thachi Narain Gallu Shetadhar Chet Chhiuni Lambathach road Km. 0/000 to 75/000 (SH- Section Thachi to Lambathach Km 25/000 to 67/500) Under CRF Job No HP-2018-19-169,Please refer Tender documents. ,NA ,"64,96,95,968",Civil Works,NA ,Tender,120.0,730.0,Janjehli,175047.0,Chief Engineer (MZ) HPPWD Mandi ,Chief Engineer (MZ) HPPWD Mandi ,07-Dec-2019 11:30 AM ,Chief Engineer (MZ) HPPWD Mandi,No ,No,29-Nov-2019 12:00 PM,13-Dec-2019 11:00 AM,29-Nov-2019 12:00 PM,13-Dec-2019 09:00 AM,NA ,NA ,29-Nov-2019 12:00 PM,13-Dec-2019 09:00 AM,10-Jan-2020 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,139809.0,RAJINDER INFRASTRUCTURE PVT LTD.,12-Dec-2019 08:34 PM,Rejected-Finance,Being L2,28-Jan-2020 01:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,.pdf,Qualification information and supporting document as specified in section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,.pdf,Certificate undertaking affidavit as specified in section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any others information pursuant to clause 4.2 of these instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the bid shall remain valid for the period specified in clause 15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acceptance non acceptance of dispute review expert clause no 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent account no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income tax detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Partnership deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
