Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Sum,Suresh Kumar Walia,10-Oct-2019 12:33 PM,finance_45204.pdf,BOQ Comparative Chart,1.0,131920.0,VIRENDER PRASHAD SHARMA,INR,"8,114,053",Technical,Sum,Suresh Kumar Walia,03-Oct-2019 04:11 PM,technical_45204.pdf,1.0,132073.0,Navneet Thakur,23-Sep-2019 01:42 PM,Rejected-AOC,L2,29-Jan-2020 10:57 AM,28-Jan-2020,"INR 8,114,053",90.0,Suresh Kumar Walia,29-Jan-2020 10:57 AM,Award.pdf (413.00 KB),Award,Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,10-Oct-2019 12:38 PM,finsummary_45204.pdf (192.10 KB),Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,03-Oct-2019 04:14 PM,05-Oct-2019 03:00 PM,techsummary_45204.pdf (818.87 KB),PWD,2019_PWD_31385_1,PWD CIVIL-6943-70-TANDA,"Annual surface of Dadh Malan road Km 0/000 to 4/250 (MDR-48) in Tehsil Nagrota Bagwan, Distt Kangra (HP) (SH Providing and laying 30mm thick Bituminous concrete with paver finisher complete in Km 0/000 to 4/250).",AOC,"1,07,900",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,"Annual surface of Dadh Malan road Km 0/000 to 4/250 (MDR-48) in Tehsil Nagrota Bagwan, Distt Kangra (HP) (SH Providing and laying 30mm thick Bituminous concrete with paver finisher complete in Km 0/000 to 4/250).","Annual surface of Dadh Malan road Km 0/000 to 4/250 (MDR-48) in Tehsil Nagrota Bagwan, Distt Kangra (HP) (SH Providing and laying 30mm thick Bituminous concrete with paver finisher complete in Km 0/000 to 4/250).",Please refer Tender documents. ,NA ,"75,35,181",Civil Works - Roads,NA ,Tender,120.0,90.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,"2,000",EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,1.0,DD - Demand Draft,07-Sep-2019 05:50 PM,24-Sep-2019 11:30 AM,07-Sep-2019 05:50 PM,23-Sep-2019 05:00 PM,NA ,NA ,07-Sep-2019 05:50 PM,23-Sep-2019 05:00 PM,05-Oct-2019 03:00 PM,PWD,PWD CIVIL-6943-70-TANDA,2019_PWD_31385_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,AOC
,,,,,,,,,,,,,,,,2.0,131954.0,pritam singh thkur,23-Sep-2019 10:01 AM,Rejected-Technical,Not fulfill criteria,03-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,AOC
,,,,,,,,,,,,,,,,3.0,131956.0,Rohit,23-Sep-2019 02:01 PM,Rejected-Technical,Not fulfill criteria,03-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,AOC
,,,,,,,,,,,,,,,,4.0,131920.0,VIRENDER PRASHAD SHARMA,23-Sep-2019 01:00 PM,Accepted-AOC,L1,29-Jan-2020 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that contractor has not more than 2 works in hand,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,AOC
