EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"51,000",Yes,fixed,,EE Tauni Devi,Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,25-Oct-2019 06:30 PM,08-Nov-2019 11:00 AM,25-Oct-2019 06:30 PM,08-Nov-2019 10:30 AM,NA ,NA ,25-Oct-2019 06:30 PM,08-Nov-2019 10:30 AM,15-Nov-2019 10:30 AM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",C/o link road to Harizan Basti Darati Km. 0/0 to 3/210,"P/L G-II 2cm ,thick premix carpet with seal coat in km 0/0 to 3/210).SCSP",Please refer Tender documents. ,NA ,"28,99,351",Civil Works,NA ,Rate Contract,90.0,180.0,Tauni Devi,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,PWD,PW/TDD/GA-NIT/2019-7538dt. 10.10.2019,2019_PWD_32300_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"1,500","Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,AOC,PWD,2019_PWD_32300_1,PW/TDD/GA-NIT/2019-7538dt. 10.10.2019,C/o link road to Harizan Basti Darati Km. 0/0 to 3/210,EE,Internal,Supdt/HDm/DAO,Swaroop Kumar,14-Nov-2019 05:40 PM,15-Nov-2019 10:30 AM,techsummary_46428.pdf (195.62 KB),EE,Internal,Supdt/HDM/DAO,Swaroop Kumar,26-Jan-2020 02:33 PM,finsummary_46428.pdf (172.67 KB),26-Jan-2020,"INR 2,899,351",180.0,Swaroop Kumar,26-Jan-2020 03:13 PM,SanjeevDarati.pdf (693.00 KB),AOC,Finance,finbid,Swaroop Kumar,26-Jan-2020 02:31 PM,finance_46428.pdf,BOQ Comparative Chart,1.0,135854.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"3,418,107",1.0,135591.0,BALAL,05-Nov-2019 03:16 PM,Rejected-Technical,Not similar done,14-Nov-2019 05:40 PM,1.0,Technical mistake,Technical mistake while accept and rejecting bid,13-Nov-2019 05:50 PM,TechbidHarizanBastiDarati.pdf ,181.8,Technical Opening,Technical,TechBid,Swaroop Kumar,14-Nov-2019 05:36 PM,technical_46428.pdf,AOC
,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,135862.0,Bikesh Kumar Govt Contractor,07-Nov-2019 07:55 PM,Rejected-AOC,Higher,26-Jan-2020 03:13 PM,2.0,Financial mistake,Financial mistake while entering,26-Jan-2020 02:08 PM,HarzanBastiDarati.pdf ,158.85,Financial Opening,,,,,,AOC
,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135848.0,MOHINDER PAL GOVT. CONTRACTOR,08-Nov-2019 09:58 AM,Rejected-AOC,Higher,26-Jan-2020 03:13 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,135854.0,SAJEEV KUMAR GOVT.CONTRACTOR,08-Nov-2019 10:21 AM,Accepted-AOC,Lowest,26-Jan-2020 03:13 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,135789.0,sonam soni,06-Nov-2019 07:28 PM,Rejected-Technical,Not similar done,14-Nov-2019 05:40 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,135808.0,vinod kumar,07-Nov-2019 12:01 PM,Rejected-AOC,Higher,26-Jan-2020 03:13 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Copy of PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,EPF or Pradhan Mantri Shram Yogi Mann-Dhan (PM-SYM) No. along with latest return must be attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
