Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",2019_HPIPH_31159_1,6027-88 dated 29.08.2019,LIS Baroti Mandap Jodhan and its adjoining area in Tehsil Dharampur District Mandi HP under PMKSY including 60 days of sucessful trial run and SOP connection as certified by Engineer in charge for the entire scheme,1.0,131892.0,HARJEET SINGH,INR,"615,883,076",Engineer in chief,Internal,,Mukesh Kumar Hira,09-Jan-2020 10:39 AM,finsummary_44857.pdf (2147.02 KB),Chief Engineer Hamirpur Zone,Internal,"Superintending Engineer Design, Superintending Engineer Hamirpur Executive Engineer Dharampur Bharari Assistant Engineer Design Hamirpur Zone",Mukesh Kumar Hira,07-Oct-2019 10:15 AM,07-Oct-2019 11:30 AM,techsummary_44857.pdf (768.97 KB),1.0,131892.0,HARJEET SINGH,24-Sep-2019 04:32 PM,Accepted-AOC,1st lowest,09-Jan-2020 10:43 AM,Finance,proceeding,Mukesh Kumar Hira,09-Jan-2020 10:36 AM,finance_44857.pdf,BOQ Comparative Chart,Technical,minutes of meeting of technical evaluation,Mukesh Kumar Hira,07-Oct-2019 10:08 AM,technical_44857.pdf,09-Jan-2020,"INR 361,178,158",730.0,Mukesh Kumar Hira,09-Jan-2020 10:43 AM,Awardetter.pdf (7554.00 KB),AOC,LIS Baroti Mandap Jodhan and its adjoining area in Tehsil Dharampur District Mandi HP under PMKSY including 60 days of sucessful trial run and SOP connection as certified by Engineer in charge for the entire scheme,LIS Baroti Mandap Jodhan and its adjoining area in Tehsil Dharampur District Mandi HP under PMKSY including 60 days of sucessful trial run and SOP connection as certified by Engineer in charge for the entire scheme,Please refer Tender documents. ,NA ,"36,11,78,158",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,730.0,Kandapattan/Konsil,175040.0,Hamirpur ,O/O Chief Engineer Hamirpur Zone IPH Department Hamirpur ,18-Sep-2019 11:00 AM ,Dharampur Bharari,No ,No,1.0,Fee,.pdf,Cost of tender form in the shape of e-payment or Demand Draft of Rs.2500/-,1.0,ICICI BANK,"36,44,282",No,fixed,,EE Dharampur Bharari,Dharampur,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",6027-88 dated 29.08.2019,2019_HPIPH_31159_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer,IPH Division Dharampur Bharari,29-Aug-2019 05:00 PM,25-Sep-2019 11:30 AM,29-Aug-2019 05:00 PM,24-Sep-2019 05:00 PM,29-Aug-2019 05:00 PM ,16-Sep-2019 05:00 PM ,29-Aug-2019 05:00 PM,24-Sep-2019 05:00 PM,07-Oct-2019 11:30 AM,"2,500",EE Dharampur Bharari,Dharampur,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,132097.0,Unipro Techno Infrastructure Pvt Ltd,24-Sep-2019 12:05 PM,Rejected-AOC,2nd lowest,09-Jan-2020 10:43 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with IPH Department in appropriate class and latest renewal thereof,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax/EPF/GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, experience, annum turn over and other eligibility criteria as per Pre qualification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money through e-payment or in shape of FDR, small saving instruments from nationalised bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make/model of the proposed pumping machinery alongwith the characteristic curves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of Booster stage as per the site conditions a/w counter map w.r.t. assumed Bench mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
