Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
01-Jan-2020,"INR 2,301,632",365.0,Pramod Kashyap,01-Jan-2020 02:51 PM,awardhguard.pdf (1104.00 KB),C/O office and Store for company Commander Home Guard 10/4 company at Bhota Tehsil Barsar Distt. Hamirpur (HP),Executive Engineer,Internal,supdt HDM DAO,Anil Kumar Sharma,03-Oct-2019 03:58 PM,finsummary_45527.pdf (149.79 KB),Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,03-Oct-2019 01:37 PM,03-Oct-2019 03:00 PM,techsummary_45527.pdf (381.72 KB),PWD,2019_PWD_31641_1,C/O office and Store for company Commander Bhota,C/O office and Store for company Commander Home Guard 10/4 company at Bhota Tehsil Barsar Distt. Hamirpur (HP),Technical,Tech Bid opening Summary,Pramod Kashyap,03-Oct-2019 11:18 AM,technical_45527.pdf,1.0,133096.0,ANKITA DUBEY GOVT. CONTRACTOR,03-Oct-2019 10:03 AM,Rejected-Finance,L 2,03-Oct-2019 03:58 PM,Finance,fin bid,Anil Kumar Sharma,03-Oct-2019 03:56 PM,finance_45527.pdf,BOQ Comparative Chart,1.0,133010.0,PIAR CHAND GOVT CONTRACTOR,INR,"2,654,355",AOC,PWD,C/O office and Store for company Commander Bhota,2019_PWD_31641_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,"42,100",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,C/O office and Store for company Commander Home Guard 10/4 company at Bhota Tehsil Barsar Distt. Hamirpur (HP),"C/o building portion, W.S and S.I, Septic Tank and rain water harvesting tank, site development Deposit work",Please refer Tender documents. ,NA ,"23,01,632",Civil Works - Buildings,NA ,Tender,120.0,365.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,DD - Demand Draft,20-Sep-2019 02:35 PM,03-Oct-2019 11:00 AM,20-Sep-2019 02:35 PM,03-Oct-2019 10:30 AM,NA ,NA ,20-Sep-2019 02:35 PM,03-Oct-2019 10:30 AM,03-Oct-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133010.0,PIAR CHAND GOVT CONTRACTOR,02-Oct-2019 10:12 AM,Accepted-AOC,L 1,01-Jan-2020 02:51 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,AOC
