Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Tenders opened,Harsh Puri,25-May-2021 09:58 AM,technical_70696.pdf,Er Harsh Puri EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh kumar Superintendent Smt Sushma Sharma DHD,Harsh Puri,25-May-2021 04:46 PM,27-May-2021 10:30 AM,techsummary_70696.pdf (359.72 KB),1.0,212293.0,Davinder kumar,20-May-2021 05:36 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:39 PM,Finance,Bid opening summary,Harsh Puri,05-Jun-2021 06:35 PM,finance_70696.pdf,BOQ Comparative Chart,Er Harsh Puri EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh. Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Harsh Puri,05-Jun-2021 06:39 PM,finsummary_70696.pdf (359.72 KB),PWD,2021_PWD_47044_16,EE Dehra letter No. 250-54 dated 22.04.2021,Periodic Renewal on Jamuli to Basdi road for the year 2021-22,08-Apr-2022,"INR 928,771",30.0,Dinesh Kumar Dhiman,08-Apr-2022 11:57 AM,Award-47044-16.pdf (666.00 KB),Award of work,1.0,211946.0,Rajinder Rana,INR,"928,771",AOC,30-Apr-2021 06:00 PM,24-May-2021 11:30 AM,30-Apr-2021 06:00 PM,22-May-2021 06:00 PM,NA ,NA ,30-Apr-2021 06:00 PM,22-May-2021 06:00 PM,27-May-2021 10:30 AM,PWD,EE Dehra letter No. 250-54 dated 22.04.2021,2021_PWD_47044_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,Dehra Division HPPWD Dehra,1.0,Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form through e-challan,Periodic Renewal on Jamuli to Basdi road for the year 2021-22,Providing and laying 30mm thick Bituminous Concrete with Paver Finisher on Km 0/000 to 1/000).,Please refer to tender documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,"16,600",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,2.0,211946.0,Rajinder Rana,10-May-2021 09:11 PM,Accepted-AOC,Work awarded being lowest contractor,08-Apr-2022 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest money through e-challan,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,211843.0,Sanjal Sharma,22-May-2021 01:46 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952(As per General Rule No. 25(A),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
