S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,500.0,Nil,Nil,No,PWD,Gasota Mahadev Temple Distt. Hamirpur,2021_PWD_53737_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EEHamirpur,Executive Engineer HPPWD Hamirpur,18-Nov-2021 06:00 PM,25-Nov-2021 11:00 AM,18-Nov-2021 06:00 PM,25-Nov-2021 10:00 AM,NA ,NA ,18-Nov-2021 06:00 PM,25-Nov-2021 10:00 AM,03-Dec-2021 03:00 PM,"41,000",No,fixed,,Nil,Nil,Development and beautification of area in around the Gasota Mahadev Temple Distt. Hamirpur,SH Construction of balance work of RCC walls of Swimming Pool,Please refer Tender documents. ,NA ,"22,22,982",Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,AOC,1.0,244971.0,Arvind Sharma,24-Nov-2021 07:56 PM,Accepted-AOC,l1,02-Apr-2022 07:20 PM,Technical,Attached,Vivek Sharma,02-Dec-2021 05:33 PM,technical_80475.pdf,1.0,244971.0,Arvind Sharma,INR,"2,243,852.9",Finance,Attached,Vivek Sharma,06-Jan-2022 07:10 PM,finance_80475.pdf,BOQ Comparative Chart,PWD,2021_PWD_53737_1,Gasota Mahadev Temple Distt. Hamirpur,Development and beautification of area in around the Gasota Mahadev Temple Distt. Hamirpur,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,02-Dec-2021 06:08 PM,03-Dec-2021 03:00 PM,techsummary_80475.pdf (938.15 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,02-Apr-2022 07:19 PM,finsummary_80475.pdf (703.46 KB),02-Apr-2022,"INR 1,885,249",90.0,Vivek Sharma,02-Apr-2022 07:20 PM,GasotaFFF.pdf (1648.00 KB),Award,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,245015.0,vinod kumar,24-Nov-2021 09:41 PM,Rejected-Finance,l2,02-Apr-2022 07:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Minimum work done Certificate as per General rules and direction-26.2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
