Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Instrument Type,Tender Stage
Technical,summary attached,Virender Singh Guleria,17-Mar-2021 12:55 PM,None,1.0,201148.0,ashok Thakur,01-Mar-2021 06:40 PM,Rejected-AOC,L1,26-Apr-2022 03:36 PM,Finance,summary attached,Virender Singh Guleria,06-Apr-2021 05:26 PM,None,BOQ Comparative Chart,1.0,201152.0,Sureshkumar,INR,"1,537,484",14-Jul-2021,"INR 1,430,067",365.0,Arvind Lakhanpal,26-Apr-2022 03:35 PM,2021_PWD_44690_1.PDF (812.00 KB),BOQ Summary,"E.E. HP.PWD., Bhoranj Division",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,06-Apr-2021 05:32 PM,finsummary_67097.pdf (140.09 KB),"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,17-Mar-2021 03:20 PM,20-Mar-2021 11:30 AM,techsummary_67097.pdf (339.41 KB),PWD,2021_PWD_44690_1,Routine maintenance of Patta Awah Devi road km. 0/,Routine maintenance of Patta Awah Devi road km. 0.0 to 17.500,AOC,22-Feb-2021 05:15 PM,03-Mar-2021 11:30 AM,22-Feb-2021 05:15 PM,03-Mar-2021 10:30 AM,NA ,NA ,22-Feb-2021 05:20 PM,03-Mar-2021 10:30 AM,20-Mar-2021 11:30 AM,Routine maintenance of Patta Awah Devi road km. 0.0 to 17.500,Routine maintenance of Patta Awah Devi road km. 0.0 to 17.500 PBMC,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,365.0,Bhoranj,176045.0,NA ,NA ,NA ,HPPWDDivision Bhoranj,No ,No,500.0,EE Dodrakawar,Rohru/Dodrakawar,Yes,1.0,Tender value amount Rs.1754628 and tender fee payable to E.E. Bhoranj,Other,,PWD,Routine maintenance of Patta Awah Devi road km. 0/,2021_PWD_44690_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"34,000",Yes,fixed,,EE Bhoranj,HPPWD Bhoranj,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",1.0,DD - Demand Draft,AOC
,,,,,2.0,201243.0,Manish Chauhan,02-Mar-2021 08:50 PM,Accepted-AOC,L2,26-Apr-2022 03:36 PM,,,,,,,2.0,201243.0,Manish Chauhan,INR,"1,507,666",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,2.0,FDR - Fixed Deposit,AOC
,,,,,3.0,201324.0,RAKESH KUMAR,02-Mar-2021 03:18 PM,Accepted-AOC,L4,26-Apr-2022 03:36 PM,,,,,,,3.0,201324.0,RAKESH KUMAR,INR,"1,601,153",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,AOC
,,,,,4.0,201152.0,Sureshkumar,01-Mar-2021 06:38 PM,Accepted-AOC,L3,26-Apr-2022 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate without liquidateValue of one road work satisfactorily completed in last fi,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover for the last five years duly certified by the Chartered Accountant be uploaded. (,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provide.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
