S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,"Balance work for construction of link road from Sarkalti Hawan Oddi SH P/L Kharanja soling Km 0/000 to 3/435 and C/O Hume pipe culvert at Rd 0/735 1/375,1/73, 1/810 1/885 1/960 2/2102/555 2/960 3/105 3/480 3/660 3/780 ans 3/870","Balance work for construction of link road from Sarkalti Hawan Oddi SH P/L Kharanja soling Km 0/000 to 3/435 and C/O Hume pipe culvert at Rd 0/735 1/375,1/73, 1/810 1/885 1/960 2/2102/555 2/960 3/105 3/480 3/660 3/780 ans 3/870",Please refer Tender documents. ,NA ,"46,69,402",Civil Works - Roads,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,"2,000",Nil,Nil,No,Executive Engineer,Kumarsain Division HPPWD Kumarsain,"93,400",Yes,fixed,,Nil,Nil,02-Apr-2022 05:00 PM,11-Apr-2022 11:00 AM,02-Apr-2022 05:30 PM,08-Apr-2022 06:00 PM,NA ,NA ,02-Apr-2022 05:30 PM,08-Apr-2022 06:00 PM,13-Apr-2022 12:00 PM,PWD,PW-KMS-AB-NIT/2021-22-16291-92 dt 24.03.2022,2022_PWD_58720_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR number of payment made against cost of tender form,AOC,1.0,276495.0,AJAY THAKUR GOVT CONTACTOR,INR,"4,896,129",Finance,Technical Bid Evaluation Summary,Manoj Kumar Sehgal,13-Apr-2022 02:58 PM,finance_88796.pdf,BOQ Comparative Chart,1.0,276495.0,AJAY THAKUR GOVT CONTACTOR,08-Apr-2022 05:50 PM,Accepted-AOC,Being a lowest tender,28-Apr-2022 11:42 AM,Technical,Technical Bid Opening Summary,Manoj Kumar Sehgal,11-Apr-2022 03:12 PM,technical_88796.pdf,Er. Manoj Kumar,Internal,Supdt Gr-II HDM,Manoj Kumar Sehgal,13-Apr-2022 11:35 AM,13-Apr-2022 12:00 PM,techsummary_88796.pdf (244.63 KB),PWD,2022_PWD_58720_1,PW-KMS-AB-NIT/2021-22-16291-92 dt 24.03.2022,"Balance work for construction of link road from Sarkalti Hawan Oddi SH P/L Kharanja soling Km 0/000 to 3/435 and C/O Hume pipe culvert at Rd 0/735 1/375,1/73, 1/810 1/885 1/960 2/2102/555 2/960 3/105 3/480 3/660 3/780 ans 3/870",28-Apr-2022,"INR 4,896,129",90.0,Manoj Kumar Sehgal,28-Apr-2022 11:42 AM,b.pdf (245.00 KB),AOC,Er. Manoj Kumar,Internal,Supdt Gr-II HDM,Manoj Kumar Sehgal,21-Apr-2022 03:55 PM,finsummary_88796.pdf (244.63 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of UTR number of payment made against earnest money.,AOC,,,,,,,,,,,,2.0,276077.0,Anshul Kainthla,07-Apr-2022 05:10 PM,Rejected-Finance,Being a 2nd lowest tender,21-Apr-2022 03:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,AOC,,,,,,,,,,,,3.0,276490.0,Saurav Thakur,08-Apr-2022 05:14 PM,Rejected-Finance,Being a 3rd lowest tender,21-Apr-2022 03:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
