Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
500.0,Nil,Nil,No,14-Mar-2022 02:00 PM,21-Mar-2022 11:30 AM,14-Mar-2022 02:00 PM,21-Mar-2022 10:00 AM,NA ,NA ,14-Mar-2022 02:00 PM,21-Mar-2022 10:00 AM,26-Mar-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,PWD- Civil-14679-14708-Tanda,2022_PWD_57137_41,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"42,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Periodic maintenance of Mangrella to Har road (HP0408VR0063) under AMP (PMGSY road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 4/000 to 5/530),Periodic maintenance of Mangrella to Har road (HP0408VR0063) under AMP (PMGSY road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 4/000 to 5/530),Please refer Tender documents. ,NA ,"22,99,570",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,AOC,19-Apr-2022,"INR 2,299,570",30.0,Ankit Kumar,19-Apr-2022 03:15 PM,Award.pdf (1174.00 KB),Award,1.0,270213.0,Ujjawal Singh,INR,"2,298,078",Executive Engineer,Internal,AE Baroh Sr DAO Supdt HDM,Ankit Kumar,19-Apr-2022 03:13 PM,finsummary_87508.pdf (197.77 KB),PWD,2022_PWD_57137_41,PWD- Civil-14679-14708-Tanda,Periodic maintenance of Mangrella to Har road (HP0408VR0063) under AMP (PMGSY road) for the year 2022-23 in Distt Kangra (HP) (SH-Providing and laying Bituminous concrete pavement at Km 4/000 to 5/530),Finance,sum,Ankit Kumar,19-Apr-2022 03:11 PM,finance_87508.pdf,BOQ Comparative Chart,Technical,SUM,Suresh Kumar Walia,25-Mar-2022 10:36 AM,technical_87508.pdf,Executive Engineer,Internal,AE Sr DAO Supdt Hdm,Suresh Kumar Walia,25-Mar-2022 10:37 AM,26-Mar-2022 11:00 AM,techsummary_87508.pdf (965.03 KB),1.0,270464.0,Chamunda Construction Works,17-Mar-2022 03:18 PM,Rejected-Finance,Lowest 2,19-Apr-2022 03:13 PM,1.0,CORRIGENDUM,Revoked,25-Mar-2022 10:34 AM,Corrigendum.pdf ,219.65,Technical Opening,AOC
,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270974.0,rajat thakur govt contractor,20-Mar-2022 04:52 PM,Rejected-Technical,Not Fulfill Criteria,25-Mar-2022 10:37 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"GST , Pan Copy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271150.0,Ravinder Kumar,20-Mar-2022 03:44 PM,Rejected-Technical,Not Fulfill Criteria,25-Mar-2022 10:37 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,270213.0,Ujjawal Singh,18-Mar-2022 12:52 PM,Accepted-AOC,Award,19-Apr-2022 03:15 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,270889.0,VP SHARMA,19-Mar-2022 10:27 AM,Rejected-Finance,Lowest 3,19-Apr-2022 03:13 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct notary/1st class M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted notary / 1st class maj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
