Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Summary,R.K Dhiman,23-Mar-2022 02:34 PM,finance_87111.pdf,BOQ Comparative Chart,1.0,270953.0,G.P.ACHARYA,INR,"6,824,097",Technical,Summary,R.K Dhiman,22-Mar-2022 01:38 PM,technical_87111.pdf,1.0,270953.0,G.P.ACHARYA,19-Mar-2022 04:00 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,20-Apr-2022 12:55 PM,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,23-Mar-2022 02:38 PM,finsummary_87111.pdf (216.63 KB),02-Apr-2022,"INR 4,191,210",90.0,R.K Dhiman,20-Apr-2022 12:55 PM,Award.pdf (783.00 KB),Award,PWD,2022_PWD_57711_1,AMP For Ropri to Umber road,"ANNUAL MAINTENANCE PLAN FOR ROPRI TO UMBER DRRP No HP0407VR0029123 KM 0/0 TO 3/0, LINK ROAD TO VILLAGE RANANAGAR DRRP No HP0407VR004957204 KM 2/600 TO 4/0 AND TAMBER TO MANJOTI DRRP NoHP0407VR003412201 KM 1/0 TO 1/510",Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,22-Mar-2022 01:39 PM,22-Mar-2022 03:00 PM,techsummary_87111.pdf (257.70 KB),AOC,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,"83,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,"2,000",Nil,Nil,No,"ANNUAL MAINTENANCE PLAN FOR ROPRI TO UMBER DRRP No HP0407VR0029123 KM 0/0 TO 3/0, LINK ROAD TO VILLAGE RANANAGAR DRRP No HP0407VR004957204 KM 2/600 TO 4/0 AND TAMBER TO MANJOTI DRRP NoHP0407VR003412201 KM 1/0 TO 1/510",PROVIDING AND LAYING TACK COAT AND BITUMINOUS CONCRETE INCLUDING PROFILE CORRECTION) (YEAR 2022-23 PMGSY ROADS),Please refer Tender documents. ,NA ,"41,91,210",Civil Works - Roads,NA ,Tender,75.0,90.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,PWD,AMP For Ropri to Umber road,2022_PWD_57711_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,08-Mar-2022 05:40 PM,21-Mar-2022 11:30 AM,08-Mar-2022 05:50 PM,19-Mar-2022 05:00 PM,NA ,NA ,08-Mar-2022 05:50 PM,19-Mar-2022 05:00 PM,22-Mar-2022 03:00 PM,AOC
,,,,,,,,,,,,,,,,2.0,270542.0,Kulvinder,19-Mar-2022 03:34 PM,Rejected-Finance,Rejected due to higher rates bidder L2,23-Mar-2022 02:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,AOC
