Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,1.0,ICICI BANK,PWD,Periodic Maintenance of Tamber to Manjoti,2021_PWD_52794_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,800",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HP.PWD Division Jaisinghpur,Periodic Maintenance of Tamber to Manjoti DRRP No. HP0407VR003412201 (Under AMP 2021-22 PMGSY ROADS),Providing and laying 30 mm thick Bitumen concrete laying with paver finisher Km 0/000 to 1/000)(Approved financial Incentive 2021-22 PMGSY road) (Under Jaisinghpur Sub Division),Please refer Tender documents. ,NA ,"8,38,533",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisingpur,No ,No,30-Sep-2021 10:00 AM,08-Oct-2021 11:00 AM,30-Sep-2021 10:30 AM,07-Oct-2021 05:00 PM,NA ,NA ,30-Sep-2021 10:30 AM,07-Oct-2021 05:00 PM,19-Oct-2021 11:00 AM,350.0,Nil,Nil,No,AOC,1.0,239999.0,G.P.ACHARYA,07-Oct-2021 02:33 PM,Rejected-Finance,Rejected due to higher rates bidder L2,23-Oct-2021 11:37 AM,Technical,Summary,R.K Dhiman,18-Oct-2021 03:07 PM,technical_78940.pdf,1.0,239810.0,Kulvinder,INR,"1,214,937",Finance,Summary,R.K Dhiman,23-Oct-2021 11:32 AM,finance_78940.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,18-Oct-2021 03:08 PM,19-Oct-2021 11:00 AM,techsummary_78940.pdf (249.35 KB),PWD,2021_PWD_52794_1,Periodic Maintenance of Tamber to Manjoti,Periodic Maintenance of Tamber to Manjoti DRRP No. HP0407VR003412201 (Under AMP 2021-22 PMGSY ROADS),22-Apr-2022,"INR 838,533",60.0,R.K Dhiman,22-Apr-2022 12:04 PM,Award.pdf (421.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,23-Oct-2021 11:37 AM,finsummary_78940.pdf (208.09 KB),AOC
,,.pdf,GST/PAN/ EPF,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,239810.0,Kulvinder,07-Oct-2021 01:31 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,22-Apr-2022 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
