Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Summary,Prithi Pal Singh,18-Dec-2021 04:51 PM,technical_81685.pdf,1.0,249845.0,MAHENDER SHARMA,15-Dec-2021 07:12 PM,Accepted-AOC,Responsive,07-Apr-2022 02:09 PM,1.0,249845.0,MAHENDER SHARMA,INR,"1,373,000",Finance,Summary,Shakti Kumar Negi,21-Dec-2021 04:40 PM,finance_81685.pdf,BOQ Comparative Chart,PP Singh,Internal,BK Goel AE Jagdish Sharma supdt GrII Suresh Sharma Tender Asstt.,Prithi Pal Singh,31-Dec-2021 03:29 PM,finsummary_81685.pdf (571.16 KB),07-Apr-2022,"INR 1,522,800",90.0,Prithi Pal Singh,07-Apr-2022 02:08 PM,AOC1.pdf (643.00 KB),AOC,PWD,2021_PWD_54549_1,PW.NH CB.ETender.2021 4731.4870 Dt. 1.12.2021,R.R damages on Theog Kotkhai Hatkoti Road NH 705 from Km 0.00 to 69.00,PP Singh,Internal,BK Goel AE Jagdish Sharma Supdt GrII Suresh Sharma Tender Asstt,Prithi Pal Singh,21-Dec-2021 03:28 PM,21-Dec-2021 03:40 PM,techsummary_81685.pdf (499.54 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,Executive Engineer,HP PWD NH Division Theog,1.0,ICICI BANK,10-Dec-2021 01:00 PM,18-Dec-2021 11:00 AM,10-Dec-2021 01:00 PM,17-Dec-2021 06:00 PM,NA ,NA ,10-Dec-2021 01:00 PM,17-Dec-2021 06:00 PM,21-Dec-2021 03:40 PM,R.R damages on Theog Kotkhai Hatkoti Road NH 705 from Km 0.00 to 69.00,SH Supplying and stacking of crusher Sand in snow Bound Reaches for Smooth plying of traffic and hiring of Excavator cum Loader for removal of snow.debris etc between Km. 0.00 to 05.00 and 40.00 to 69.00.,Please refer Tender documents. ,NA ,"15,22,800",Civil Works - Roads,NA ,Tender,120.0,90.0,Theog,171201.0,NA ,NA ,NA ,Theog,No ,No,PWD,PW.NH CB.ETender.2021 4731.4870 Dt. 1.12.2021,2021_PWD_54549_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"30,450",No,fixed,,Nil,Nil,AOC
,,,,,2.0,250313.0,PANKAJ CHAUHAN GOVT. CONTRACTOR,17-Dec-2021 05:53 PM,Rejected-Finance,Non Responsive,31-Dec-2021 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration as per clause 4.3 of ITB,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Authority to seek reference for bidders bankers a per clause 1.10 of Sec.2 and 4.3 (i) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Name/address of bidders bankers with the place of registration telephone/Mob. No. of Contractor and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
