Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage
31-Mar-2022,"INR 115,650,474",730.0,Eshant Thakur,06-Apr-2022 04:19 PM,AOCSansai.pdf (748.00 KB),AOC and LOA,Er Rajeev Sharma SE,Internal,EE D EE Baijnath AE D Supdt Gr I,Eshant Thakur,02-Mar-2022 12:37 PM,finsummary_82307.pdf (1674.16 KB),Er Rajeev Sharma SE,Internal,EE Design EE Baijnath AE Design Supdt Works,Eshant Thakur,27-Jan-2022 05:21 PM,03-Feb-2022 11:00 AM,techsummary_82307.pdf (953.43 KB),PWD,2021_PWD_54877_1,PW-SE-JNR-2021-22-6356-6405,Construction of Balance work of Chobin Sansai and Kothi Kholi via Patel Nagar Road Km 0/0 to 13/860 including 55.00 mtr span bridge over Binwa Khad at RD 5/005,Technical,Technical Bid opening Summary,Eshant Thakur,21-Jan-2022 04:10 PM,None,1.0,257431.0,Dinesh Kumar Sharma Const. (P) Ltd,21-Jan-2022 09:03 AM,Accepted-AOC,Accepted due to L1 and work awarded,06-Apr-2022 04:19 PM,1.0,257431.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"105,744,019.52",Finance,Financial bid opening summary,Eshant Thakur,05-Feb-2022 02:55 PM,finance_82307.pdf,BOQ Comparative Chart,AOC,21-Dec-2021 06:00 PM,21-Jan-2022 11:30 AM,21-Dec-2021 06:00 PM,21-Jan-2022 10:00 AM,NA ,NA ,21-Dec-2021 06:00 PM,21-Jan-2022 10:00 AM,03-Feb-2022 11:00 AM,PWD,PW-SE-JNR-2021-22-6356-6405,2021_PWD_54877_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SE JNR Circle HPPWD Joginder Nagar,SE JNR Circle HPPWD Joginder Nagar,"5,000",Nil,Nil,No,Construction of Balance work of Chobin Sansai and Kothi Kholi via Patel Nagar Road Km 0/0 to 13/860 including 55.00 mtr span bridge over Binwa Khad at RD 5/005,"Formation Cutting, Improvement of Road, R/Walls, Missing C.D. Work, GSB, WBM-II, WBM-III, Tarring work, CC Pavement, Side Drain and Parapets including 5 year routine maintenance after completion the work.) (Under NABARD RIDF XXVII",Please refer Tender documents. ,NA ,"11,56,50,474",Civil Works - Roads,NA ,Tender,90.0,730.0,Sansaai,176125.0,NA ,NA ,NA ,JNR Circle HPPWD Joginder Nagar,No ,No,"23,13,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Technical Bid open date extend,Date,,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part-I of Bid .,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,257574.0,G.P.ACHARYA,20-Jan-2022 04:28 PM,Accepted-AOC,Rejected due to L2,06-Apr-2022 04:19 PM,2.0,257574.0,G.P.ACHARYA,INR,"107,009,829.26",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Extend of technical bid of date,Technical Bid,,,,.pdf,Scanned copy of the Demand Draft as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Bid Security as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.1.1 as per SBD Section 2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4B (a) i and ii. SBD Section 2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (c) SBD Section 2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (b) (i) as per Appendix to SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek references from the Bidders bankers,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the bid shall remain valid specified period in clause 15.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of access of credit and availability of financial resources clause 4.2 (g),AOC
