Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,PW-SE-JNR-RIDF-2021-6806-904 dt. 17-12-2021,2021_PWD_55168_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Superintending Engineer,"Superintending Engineer, JNR Circle, HPPWD, Joginder Nagar",1.0,ICICI BANK,"8,37,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form as per Section-1 Point No. 3,1.0,Extend of Technical Bid Open Date,Date,,30-Dec-2021 02:00 PM,24-Jan-2022 11:30 AM,30-Dec-2021 02:00 PM,24-Jan-2022 10:00 AM,NA ,NA ,30-Dec-2021 02:00 PM,24-Jan-2022 10:00 AM,11-Feb-2022 11:00 AM,"5,000",Nil,Nil,No,C/O Kuni Katal Bhalara Rains road km. 0/0 to 3/805 and C/o 1 No. bridge under RIDF-XXVII,"ROFD, C/O wire crates/gabion walls R/walls P/L M/T C.C pavement C/O road side parapets providing W metal beam crash barriers, C/O V-shape and U-shape drain, X-drainage work including five year routine maintenance after completion of work",As Per SBD ,NA ,"4,18,60,990",Civil Works - Roads,NA ,Tender,75.0,730.0,Lad Bharol,175032.0,NA ,NA ,NA ,Joginder Nagar Circle HPPWD. Joginder Nagar,No ,No,AOC,PWD,2021_PWD_55168_1,PW-SE-JNR-RIDF-2021-6806-904 dt. 17-12-2021,C/O Kuni Katal Bhalara Rains road km. 0/0 to 3/805 and C/o 1 No. bridge under RIDF-XXVII,Er Rajeev Sharma SE,Internal,EE Design EE Joginder Nagar AE D Supdt Gr I,Eshant Thakur,04-Feb-2022 06:29 PM,11-Feb-2022 11:00 AM,techsummary_82720.pdf (3494.63 KB),Er Rajeev Sharma SE,Internal,EE D EE Joginder Nagar AE D Supdt Gr I,Eshant Thakur,04-Mar-2022 03:43 PM,finsummary_82720.pdf (1368.04 KB),19-Apr-2022,"INR 35,752,860.63",730.0,Eshant Thakur,21-Apr-2022 02:31 PM,AOCKuni.pdf (752.00 KB),AOC and LOA,1.0,256850.0,ANURAG SHARMA,23-Jan-2022 03:19 PM,Accepted-AOC,Accepted due to L1 and work awarded to the contractor,21-Apr-2022 02:31 PM,Technical,technical bid opening summary,Eshant Thakur,27-Jan-2022 01:22 PM,technical_82720.pdf,Finance,Financial Summary,Sanjiv Kumar,17-Feb-2022 12:49 PM,finance_82720.pdf,BOQ Comparative Chart,1.0,256850.0,ANURAG SHARMA,INR,"35,752,860.63",AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Bid Security as per Section-2 (ITB) 16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,257444.0,Sanjeev Bhandari,23-Jan-2022 07:35 PM,Rejected-Technical,Non Responsive,04-Feb-2022 06:29 PM,,,,,,,,,,,,2.0,257888.0,VISHAL RAJPUT,INR,"37,891,007",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Q.I. Section 3 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,257888.0,VISHAL RAJPUT,23-Jan-2022 10:44 PM,Accepted-AOC,Rejected due to L2,21-Apr-2022 02:31 PM,,,,,,,,,,,,3.0,258019.0,YUDHVIR SINGH,INR,"43,205,406.76",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-3 (1.3.1) (1.3.2) (1.3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,258019.0,YUDHVIR SINGH,23-Jan-2022 11:46 PM,Accepted-AOC,Rejected due to L3,21-Apr-2022 02:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-3 (1.2) (1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-3 (1.6) (1.8) (1.9) (1.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 (ITB) (4.2, (4.4 A and B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders would like toprovided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Part-II of the Bid as per Section-6 and 7 a/w item rates offered bythe Employer for routinemaintenan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
