S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,238972.0,Associated Electricals (Gzb) Pvt. Ltd.,INR,"6,509,470",HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_52481_1,SSD-482/2021,Reconditioning of 01 No. 132/33 kV 16 MVA Transformer and repair of 01 No. 66/11 kV 10 MVA Power transformer of HPSEBL,Er. K.K. Bhardwaj SE Design ES,Internal,"Sr. XEN, AE",Narender Pal Abrol,18-Apr-2022 05:10 PM,finsummary_78414.pdf (150.90 KB),Technical,The techno commercial bids have been opened,Vikailash Chand Attri,29-Nov-2021 04:05 PM,technical_78414.pdf,Finance,The price bids of all the responsive bidders have been downloaded,Narender Pal Abrol,16-Dec-2021 03:33 PM,finance_78414.pdf,BOQ Comparative Chart,18-Apr-2022,"INR 6,509,470",120.0,Narender Pal Abrol,18-Apr-2022 05:31 PM,AwardSSD482.pdf (2568.00 KB),"Letter of Award for Reconditioning of 01 No. 132/33kV, 16 MVA 3-Phase Power Transformer lying at 132/33 kV Sub-station, HPSEBL, Amb (Una) and repair/ overhauling of 01 No. 66/11 kV, 10 MVA TRF",1.0,238972.0,Associated Electricals (Gzb) Pvt. Ltd.,30-Oct-2021 09:06 AM,Accepted-AOC,Award issued to the firm,18-Apr-2022 05:31 PM,KK Bhardwaj SE,Internal,Sr. XEN AAO and AE,Narender Pal Abrol,16-Dec-2021 03:18 PM,16-Dec-2021 03:20 PM,techsummary_78414.pdf (94.37 KB),AOC,"1,00,000",No,fixed,,Nil,Nil,Reconditioning of 01 No. 132/33 kV 16 MVA Transformer and repair of 01 No. 66/11 kV 10 MVA Power transformer of HPSEBL,Reconditioning of 01 No. 132/33 kV 16 MVA Transformer and repair of 01 No. 66/11 kV 10 MVA Power transformer of HPSEBL,Please refer Tender documents. ,NA ,"85,00,000",Electrical Works,NA ,Tender,240.0,120.0,UNA,174303.0,Hamirpur ,"O/o SE (Design), ES, HPSEBL, Hamirpur ",28-Sep-2021 11:00 AM ,"O/o SE (Design), ES, HPSEBL, Hamirpur",No ,No,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-482/2021,2021_HPSEB_52481_1,Yes,Open Tender,Item Wise,Works,2.0,No,Yes,Online,No,No,No,1.0,ICICI BANK,1.0,Corrigendum5,Date,,"10,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"SE (Design), ES, HPSEBL, Hamirpur","O/o SE (Design), ES, HPSEBL, Hamirpur",18-Sep-2021 05:30 PM,29-Nov-2021 03:00 PM,18-Sep-2021 05:30 PM,29-Nov-2021 01:00 PM,NA ,NA ,01-Oct-2021 09:00 AM,29-Nov-2021 01:00 PM,16-Dec-2021 03:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,238926.0,Svasca Industries (India) Ltd.,16-Oct-2021 08:24 PM,Rejected-AOC,Not awarded to the firm being L-2 bidder,18-Apr-2022 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Test Reports,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies and Repairs,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Vendors for material and equipment to be replaced,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Detailed BOQ to be uploaded with main BOQ in zipped file,,,,,,,,,,,,AOC
