Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
HP SIDC Limited,2022_SIDC_56869_1,Job No. 11,Construction of Govt. Polytechnic college at Jandour Distt. Kangra (SH- Providing fire fighting system thereof).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,19-Mar-2022 03:33 PM,finsummary_85706.pdf (25.89 KB),1.0,266986.0,APEX FIRE GUARD ENGINEERS,INR,"1,445,300",08-Apr-2022,"INR 1,445,300",60.0,Sushant Singh Negi,21-Apr-2022 04:30 PM,firefighting.pdf (1614.00 KB),Award letter,1.0,266986.0,APEX FIRE GUARD ENGINEERS,28-Feb-2022 12:05 PM,Accepted-AOC,AOC,21-Apr-2022 04:30 PM,Technical,Tender summary,Sushant Singh Negi,11-Mar-2022 12:30 PM,technical_85706.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,11-Mar-2022 12:31 PM,11-Mar-2022 03:00 PM,techsummary_85706.pdf (504.69 KB),Finance,Financial summary,Sushant Singh Negi,19-Mar-2022 03:28 PM,finance_85706.pdf,BOQ Comparative Chart,AOC,HP SIDC Limited,Job No. 11,2022_SIDC_56869_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Govt. Polytechnic college at Jandour Distt. Kangra (SH- Providing fire fighting system thereof).,(SH- Providing fire fighting system thereof).,Please refer Tender documents. ,NA ,"15,34,170",Electrical Works,Fire fighting system  ,Tender,120.0,60.0,Jandour (Kangra),176501.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,21-Feb-2022 11:00 AM,02-Mar-2022 11:00 AM,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,NA ,NA ,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,11-Mar-2022 03:00 PM,Executive Engineer,HPSIDC Shimla,"30,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,"1,700",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Electrical Contractor registration (as per tender condition),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,266673.0,Continental Engineers,25-Feb-2022 04:04 PM,Rejected-Finance,Second lowest bidder,19-Mar-2022 03:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar type of work done certificate (as per tender condition,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
