Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Summary,R.K Dhiman,22-Apr-2022 11:47 AM,finance_87077.pdf,BOQ Comparative Chart,1.0,270527.0,Kulvinder,INR,"2,527,690",Technical,Summary,R.K Dhiman,23-Mar-2022 12:25 PM,technical_87077.pdf,1.0,271047.0,Arvind Sharma,19-Mar-2022 04:52 PM,Rejected-Technical,Non Responsive,23-Mar-2022 12:27 PM,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,22-Apr-2022 11:50 AM,finsummary_87077.pdf (203.51 KB),22-Apr-2022,"INR 1,538,912",30.0,R.K Dhiman,22-Apr-2022 11:53 AM,Award.pdf (661.00 KB),Award,PWD,2022_PWD_57689_1,ANNUAL MAINTENANCE PLAN FOR H.S.T.M Road,ANNUAL MAINTENANCE PLAN FOR HAMIRPUR SUJANPUR THURAL MARANDA,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II,",R.K Dhiman,23-Mar-2022 12:27 PM,23-Mar-2022 03:00 PM,techsummary_87077.pdf (263.09 KB),AOC,500.0,Nil,Nil,No,08-Mar-2022 04:30 PM,21-Mar-2022 11:30 AM,08-Mar-2022 04:40 PM,19-Mar-2022 05:00 PM,NA ,NA ,08-Mar-2022 04:40 PM,19-Mar-2022 05:00 PM,23-Mar-2022 03:00 PM,PWD,ANNUAL MAINTENANCE PLAN FOR H.S.T.M Road,2022_PWD_57689_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,ANNUAL MAINTENANCE PLAN FOR HAMIRPUR SUJANPUR THURAL MARANDA,PROVIDING AND LAYING TACK COAT AND BITUMINOUS CONCRETE BETWEEN) KM 29/0 TO 30/0) (YEAR 2022-23 MDR),Please refer Tender documents. ,NA ,"15,38,912",Civil Works - Roads,NA ,Tender,75.0,30.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"30,800",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,AOC
,,,,,,,,,,,,,,,,2.0,270959.0,G.P.ACHARYA,19-Mar-2022 02:48 PM,Rejected-Finance,Rejected due to higher rates bidder L2,22-Apr-2022 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST/PAN/ EPF,AOC
,,,,,,,,,,,,,,,,3.0,270527.0,Kulvinder,19-Mar-2022 03:12 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,22-Apr-2022 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,AOC
,,,,,,,,,,,,,,,,4.0,271034.0,MSC Roads and Bridges Private Limited,19-Mar-2022 04:38 PM,Rejected-Technical,Non Responsive,23-Mar-2022 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),AOC
