Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
20-Dec-2021 05:00 PM,28-Dec-2021 11:30 AM,20-Dec-2021 05:00 PM,28-Dec-2021 10:00 AM,NA ,NA ,20-Dec-2021 05:00 PM,28-Dec-2021 10:00 AM,24-Jan-2022 03:00 PM,Construction of Govt. ITI building at Baijnath Distt. Kangra (H.P.)(SH- Providing E.I. in Admin block therein),Construction of Govt. ITI building at Baijnath Distt. Kangra (H.P.)(SH- Providing E.I. in Admin block therein),Please refer Tender documents. ,NA ,"23,22,775",Electrical Works,NA ,Tender,120.0,730.0,Baijnath in Distt. Kangra,176125.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Division HPPWD Palampur,2021_PWD_54810_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"42,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,1.0,ICICI BANK,Executive Engineer,Elect. Division HPPWD Palampur,500.0,Nil,Nil,No,AOC,PWD,2021_PWD_54810_2,Elect. Division HPPWD Palampur,Construction of Govt. ITI building at Baijnath Distt. Kangra (H.P.)(SH- Providing E.I. in Admin block therein),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Sanajy Awasthi DAO Sh. Atul Nag JDM,Dalip singh Patial,24-Jan-2022 02:57 PM,24-Jan-2022 03:00 PM,techsummary_82203.pdf (380.59 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,20-Mar-2022 08:02 PM,finsummary_82203.pdf (142.78 KB),27-Apr-2022,"INR 2,322,775",730.0,Dalip singh Patial,29-Apr-2022 04:46 PM,AOC54810_2.pdf (973.00 KB),awarded vide this office letter no.757-62 dated 27.04.2022,1.0,252521.0,JAMWAL ELECTRICAL WORKS,27-Dec-2021 12:59 PM,Rejected-Finance,L4,20-Mar-2022 08:02 PM,Technical,as per uploaded document,Dalip singh Patial,24-Jan-2022 02:56 PM,technical_82203.pdf,Finance,as per uploaded document,Dalip singh Patial,20-Mar-2022 07:58 PM,finance_82203.pdf,BOQ Comparative Chart,1.0,252500.0,SATISH SHARMA,INR,"2,681,075",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,252682.0,Malhotra Associates,27-Dec-2021 07:04 PM,Rejected-Finance,L2,20-Mar-2022 08:02 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,252397.0,Rajesh Kumar Jaswal,27-Dec-2021 04:23 PM,Rejected-Finance,L3,20-Mar-2022 08:02 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,252500.0,SATISH SHARMA,27-Dec-2021 06:05 PM,Accepted-AOC,L1,29-Apr-2022 04:46 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate (minimum one work not less than 40 percent of estimated cost),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
