EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,25,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,C/O Science Lab Govt. Senior Secondary School Badaran District Hamirpur HP.,SH C/O Building Portion including W.S and S.I and Rain Water Harvesting) Deposit Work,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,365.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"2,000",Nil,Nil,No,Executive Engineer,Execu Engineer Barsar Division HPPWD Barsar,10-Feb-2022 10:30 AM,17-Feb-2022 12:30 PM,10-Feb-2022 10:30 AM,17-Feb-2022 10:30 AM,NA ,NA ,10-Feb-2022 10:30 AM,17-Feb-2022 10:30 AM,26-Feb-2022 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,PWD,C/O Science Lab Govt. Senior Secondary School Bada,2022_PWD_56568_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Attached,Dev Raj,28-Feb-2022 02:56 PM,finance_85186.pdf,BOQ Comparative Chart,1.0,263543.0,PRABHAT SINGH COVT CONTRACTOR,INR,"9,883,733.48",1.0,264227.0,MIOS CORPORATION PRIVATE LIMITED,17-Feb-2022 12:30 AM,Rejected-Technical,Non Responsive,24-Feb-2022 03:47 PM,Technical,Attached,Dev Raj,24-Feb-2022 02:40 PM,technical_85186.pdf,Executive Engineer,Internal,"Tender Asstt, Supdt, HDM, DAO",Dev Raj,24-Feb-2022 03:47 PM,26-Feb-2022 03:30 PM,techsummary_85186.pdf (840.44 KB),PWD,2022_PWD_56568_1,C/O Science Lab Govt. Senior Secondary School Bada,C/O Science Lab Govt. Senior Secondary School Badaran District Hamirpur HP.,20-Apr-2022,"INR 9,686,058",365.0,Dev Raj,20-Apr-2022 11:53 AM,A.O.C.pdf (1901.00 KB),Attached,Executive Engineer,Internal,"Supdt, HDM, DAO",Dev Raj,28-Feb-2022 02:58 PM,finsummary_85186.pdf (303.79 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,263543.0,PRABHAT SINGH COVT CONTRACTOR,16-Feb-2022 06:21 PM,Accepted-AOC,Overall 2 Percent Rebate,20-Apr-2022 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,263889.0,Yash Paul,17-Feb-2022 09:51 AM,Rejected-Finance,L1L2,28-Feb-2022 02:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Last Five Years Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
