Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,08-Mar-2022 05:20 PM,21-Mar-2022 11:30 AM,08-Mar-2022 05:30 PM,19-Mar-2022 05:00 PM,NA ,NA ,08-Mar-2022 05:30 PM,19-Mar-2022 05:00 PM,22-Mar-2022 03:00 PM,1.0,ICICI BANK,"ANNUAL MAINTENANCE PLAN FOR HALER CHAMBI ROAD DRRP No. HP0407VR012957201 KM 0/0 TO 1/0, JHUNGA DEVI TO KALUHI ROAD DRRP No.HP0407VR0142572 KM 0/0 TO 1/0 and NIHARA TO JUNGA DEVI DRRP NoHP0407VR011812304 KM 13/0 TO 14/0,",PROVIDING AND LAYING TACK COAT AND BITUMINOUS CONCRETE INCLUDING PROFILE CORRECTION) (YEAR 2022-23 RURAL ROADS),Please refer Tender documents. ,NA ,"20,70,858",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,PWD,AMP FOR HALER CHAMBI ROAD,2022_PWD_57707_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"41,500",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HPPWD Division Jaisinghpur,AOC,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,22-Mar-2022 01:33 PM,22-Mar-2022 03:00 PM,techsummary_87101.pdf (251.04 KB),PWD,2022_PWD_57707_1,AMP FOR HALER CHAMBI ROAD,"ANNUAL MAINTENANCE PLAN FOR HALER CHAMBI ROAD DRRP No. HP0407VR012957201 KM 0/0 TO 1/0, JHUNGA DEVI TO KALUHI ROAD DRRP No.HP0407VR0142572 KM 0/0 TO 1/0 and NIHARA TO JUNGA DEVI DRRP NoHP0407VR011812304 KM 13/0 TO 14/0,",02-Apr-2022,"INR 2,070,858",60.0,R.K Dhiman,22-Apr-2022 11:40 AM,Award.pdf (696.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,23-Mar-2022 02:47 PM,finsummary_87101.pdf (209.93 KB),1.0,270539.0,Kulvinder,INR,"3,541,226",Finance,Summary,R.K Dhiman,23-Mar-2022 02:45 PM,finance_87101.pdf,BOQ Comparative Chart,1.0,270944.0,G.P.ACHARYA,19-Mar-2022 02:59 PM,Rejected-Finance,Rejected due to higher rates bidder L2,23-Mar-2022 02:47 PM,Technical,Summary,R.K Dhiman,22-Mar-2022 01:31 PM,technical_87101.pdf,AOC
,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270539.0,Kulvinder,19-Mar-2022 03:19 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,22-Apr-2022 11:40 AM,,,,,,AOC
,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
