Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Harsh Puri EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Harsh Puri,25-May-2021 04:52 PM,27-May-2021 10:30 AM,techsummary_70698.pdf (359.72 KB),Technical,Tenders opened,Harsh Puri,25-May-2021 10:02 AM,technical_70698.pdf,1.0,212294.0,Davinder kumar,20-May-2021 05:45 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:44 PM,Finance,Financial Bid opening summary,Harsh Puri,05-Jun-2021 06:41 PM,finance_70698.pdf,BOQ Comparative Chart,Er Harsh Puri EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Harsh Puri,05-Jun-2021 06:44 PM,finsummary_70698.pdf (359.72 KB),PWD,2021_PWD_47044_17,EE Dehra letter No. 250-54 dated 22.04.2021,Periodic Renewal on Amb Pathiar road the year 2021-22,08-Apr-2022,"INR 938,379",30.0,Dinesh Kumar Dhiman,08-Apr-2022 12:09 PM,Award-47044-17.pdf (685.00 KB),Work awarded,1.0,212011.0,Rajinder Rana,INR,"938,379",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form through e-challan,Periodic Renewal on Amb Pathiar road the year 2021-22,Providing and laying 30mm thick Bituminous Concrete with Paver Finisher on Km 0/00 to 1/00).,Please refer to tender documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,PWD,EE Dehra letter No. 250-54 dated 22.04.2021,2021_PWD_47044_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Dehra Division HPPWD Dehra,1.0,ICICI BANK,"16,600",No,fixed,,Nil,Nil,30-Apr-2021 06:00 PM,24-May-2021 11:30 AM,30-Apr-2021 06:00 PM,22-May-2021 06:00 PM,NA ,NA ,30-Apr-2021 06:00 PM,22-May-2021 06:00 PM,27-May-2021 10:30 AM,1.0,Corrigendum,Date,,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,2.0,212011.0,Rajinder Rana,12-May-2021 12:32 PM,Accepted-AOC,Work awarded,08-Apr-2022 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest money through e-challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,211854.0,Sanjal Sharma,22-May-2021 02:31 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,213049.0,VP SHARMA,20-May-2021 01:48 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Sales Tax/GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machinery, tool, plants and equipments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
