Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E-procurement notice,Construction of Parking on road leading from Police Thana Dhalli to Indernagar RD 0 0 to 0 650 (SH Retaining wall RD 0 600 to 0 650) in ward No 20 under Shimla Smart City Mission,Construction of Parking on road leading from Police Thana Dhalli to Indernagar RD 0 0 to 0 650 (SH Retaining wall RD 0 600 to 0 650) in ward No 20 under Shimla Smart City Mission,Please refer Tender Documents ,NA ,"29,12,700",Civil Works,NA ,Tender,120.0,180.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,"58,200",No,fixed,,Executive Engineer R B M C Shimla,Shimla,"1,500",Executive Engineer R B M C Shimla,Shimla,No,Municipal Corporation Shimla,906Dated14032022,2022_MC_58207_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,1.0,DD - Demand Draft,17-Mar-2022 05:00 PM,26-Mar-2022 02:00 PM,17-Mar-2022 05:00 PM,25-Mar-2022 05:00 PM,NA ,NA ,17-Mar-2022 05:00 PM,25-Mar-2022 05:00 PM,28-Mar-2022 02:00 PM,AOC,1.0,272884.0,Ajay Sharma,INR,"2,225,420",Municipal Corporation Shimla,2022_MC_58207_2,906Dated14032022,Construction of Parking on road leading from Police Thana Dhalli to Indernagar RD 0 0 to 0 650 (SH Retaining wall RD 0 600 to 0 650) in ward No 20 under Shimla Smart City Mission,EE,Internal,AGM SJPNL AO,Gopesh Behl,28-Mar-2022 01:59 PM,28-Mar-2022 02:00 PM,techsummary_87930.pdf (1910.26 KB),Finance,BOS,Rajesh Thakur,28-Mar-2022 02:40 PM,finance_87930.pdf,BOQ Comparative Chart,06-Apr-2022,"INR 2,257,238.2",180.0,Rajesh Thakur,06-Apr-2022 02:58 PM,2022_MC_58207_2.pdf (567.00 KB),AOC,EE,Internal,AGM SJPNL AO,Rajesh Thakur,06-Apr-2022 02:56 PM,finsummary_87930.pdf (294.95 KB),1,272884,Ajay Sharma,25-Mar-2022 03:26 PM,Accepted-AOC,Accepted due to lowest rates,06-Apr-2022 02:58 PM,Technical,BOS,Gopesh Behl,28-Mar-2022 12:59 PM,technical_87930.pdf,AOC
,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,272824,Ajay Thakur,25-Mar-2022 12:46 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No. and GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,272897,Ashu Chauhan,25-Mar-2022 03:53 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
,,.pdf,Affidavit that he does not have more than two works in hand in the MC Shimla as per condition No 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,272249,BRIJ MOHAN SUMAN,25-Mar-2022 04:58 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
,,.pdf,"Bidder must upload scanned copy of Proforma(It is mandatory), E-procurement Notice and Form MW-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,271756,HARMANJOT SINGH,22-Mar-2022 02:35 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
,,.pdf,"Printed Letter Head Pad mention Contractor name, WhatspNo., Address, Upload as per condition No 10.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,272898,Kapil Chand,25-Mar-2022 03:29 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,271849,MANOHAR LAL VERMA,22-Mar-2022 04:48 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,272682,SANDEEP KANT SHARMA,24-Mar-2022 09:29 PM,Rejected-Technical,Document not submitted hence rejected,28-Mar-2022 01:59 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,272847,Sunil Khachi,25-Mar-2022 03:35 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,271854,suresh jagta,25-Mar-2022 03:37 PM,Rejected-Finance,Rejected,06-Apr-2022 02:56 PM,,,,,,AOC
