Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
20-Apr-2022,"INR 3,165,120",90.0,Jitender Kumar,20-Apr-2022 05:00 PM,AOCneulamp.PDF (434.00 KB),AOC,Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,20-Apr-2022 04:45 PM,finsummary_88122.pdf (709.85 KB),Er. J.K. Gupta,Internal,AE Kamand Supdt. HDM,Jitender Kumar,29-Mar-2022 04:10 PM,30-Mar-2022 11:00 AM,techsummary_88122.pdf (790.11 KB),PWD,2022_PWD_58283_1,PW-MDI-Tender-NIT- 24350-384 dated 26.02.2022,Periodic maintenance on Neul Budha Bingal Shadhala road (Village road HP08VR050151) under Annual Maintenance Plan for the Year 2022-23.,Technical,summary,Jitender Kumar,29-Mar-2022 03:24 PM,None,1.0,273231.0,AJAY PATHANIA,27-Mar-2022 04:54 PM,Accepted-AOC,AOC,20-Apr-2022 05:00 PM,Finance,fbosummary,Jitender Kumar,31-Mar-2022 02:29 PM,finance_88122.pdf,BOQ Comparative Chart,1.0,273231.0,AJAY PATHANIA,INR,"3,297,738",AOC,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","63,300",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,"1,500","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,21-Mar-2022 11:00 AM,28-Mar-2022 11:30 AM,21-Mar-2022 11:00 AM,28-Mar-2022 10:00 AM,NA ,NA ,21-Mar-2022 11:00 AM,28-Mar-2022 10:00 AM,30-Mar-2022 11:00 AM,Periodic maintenance on Neul Budha Bingal Shadhala road (Village road HP08VR050151) under Annual Maintenance Plan for the Year 2022-23.,"Providing and laying 30mm thick Bituminous concrete, including profile correction in Km. 0/0 to 2/0",As per bid documents ,NA ,"31,65,120",Civil Works - Roads,NA ,Tender,90.0,90.0,Neul,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,1.0,ICICI BANK,PWD,PW-MDI-Tender-NIT- 24350-384 dated 26.02.2022,2022_PWD_58283_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,272814.0,Hemant Kumar,25-Mar-2022 12:35 PM,Rejected-Finance,L-3,20-Apr-2022 04:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,272889.0,M/S NAWAL KISHORE AND SONS,25-Mar-2022 03:09 PM,Rejected-Finance,L-2,20-Apr-2022 04:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3) and EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
