Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,NABARD-10850-54 dated 20.12.2021,2021_PWD_55089_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer HP.PWD. Division Nalagarh,Executive Engineer HP.PWD. Division Nalagarh,1.0,ICICI BANK,1,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,"6,72,000",No,fixed,,Nil,Nil,27-Dec-2021 05:55 PM,13-Jan-2022 11:30 AM,27-Dec-2021 05:55 PM,13-Jan-2022 11:00 AM,NA ,NA ,27-Dec-2021 05:55 PM,13-Jan-2022 11:00 AM,24-Jan-2022 11:00 AM,"5,000",Nil,Nil,No,"Construction of Road Bagheri - Khatiwala Garamoda upto NH-21 from km - 0/000 to km - 3/375 under NABARD RIDF XXVII.(Sub Head- (R.O.F.D.) X-Drainage , Soling , M.T. , Parapets etc. including 5 Year Maintenance) (Under NABARD)",.,Please refer Tender documents. ,NA ,"3,35,85,232",Civil Works,NA ,Tender,75.0,540.0,NALAGARH,174101.0,NA ,NA ,NA ,Executive Engineer HP.PWD. Division Nalagarh,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and EMD indicated in SBD,AOC,EE,Internal,All Committee Members,Ajay Kumar Sharma,19-Jan-2022 04:25 PM,24-Jan-2022 11:00 AM,techsummary_82596.pdf (147.07 KB),PWD,2021_PWD_55089_1,NABARD-10850-54 dated 20.12.2021,"Construction of Road Bagheri - Khatiwala Garamoda upto NH-21 from km - 0/000 to km - 3/375 under NABARD RIDF XXVII.(Sub Head- (R.O.F.D.) X-Drainage , Soling , M.T. , Parapets etc. including 5 Year Maintenance) (Under NABARD)",28-Feb-2022,"INR 33,585,232",540.0,Raj Kumar,05-Apr-2022 02:41 PM,Gi.pdf (182.00 KB),L1 Earnest money,EE CHAIRMAN,Internal,ALL Committee Members,Ajay Kumar Sharma,24-Jan-2022 11:52 AM,finsummary_82596.pdf (200.93 KB),Finance,Summarytechnical,Ajay Kumar Sharma,24-Jan-2022 11:46 AM,finance_82596.pdf,BOQ Comparative Chart,1.0,253857.0,Gian Chand,INR,"24,462,222",1.0,253857.0,Gian Chand,11-Jan-2022 03:01 PM,Accepted-AOC,L1,05-Apr-2022 02:41 PM,Technical,Summary,Ajay Kumar Sharma,19-Jan-2022 04:23 PM,technical_82596.pdf,AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly filled and signed from Part-I and Part- II General Rule and Direction,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253028.0,Jai Singh Kashyap,12-Jan-2022 12:38 PM,Rejected-Finance,Non-Responsive due to L4 Bidder,24-Jan-2022 11:52 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per contract data to General Condition of Contact in SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,255090.0,RAJESH KUMAR GOVT CONTRACTOR,12-Jan-2022 05:01 PM,Rejected-Finance,Non-Responsive due to L3 Bidder,24-Jan-2022 11:52 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,Financial Details ,Annual Turn Over Details ,Annual Turn Over Details ,HP_Turnover.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. reg. all the Info. furnished with the bid are correct and near relatives who are working in PWD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,254476.0,RAVINDER KUMAR,12-Jan-2022 04:21 PM,Rejected-Finance,Non-Responsive due to L2 Bidder,24-Jan-2022 11:52 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Last5y Smilarworkdone and financialstatement asper Instructions to Bidders (ITB)4.4A (a),(b) of SBD",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration/GST/PAN/EPF and follow the other all conditions indicated in Section -2,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7,Man Power Details ,Details of Technical Manpower ,Details of Technical Manpower ,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,banker solvency certificate as per indicate in SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,9,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,10,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
