EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"4,46,650",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,1.0,Tor steel issued from department,Other,,PWD,SD-III-CB-Tender/22-28786-806 dt.14-02-2022,2022_PWD_56878_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Feb-2022 06:00 PM,25-Feb-2022 11:00 AM,17-Feb-2022 06:00 PM,24-Feb-2022 06:00 PM,NA ,NA ,17-Feb-2022 06:00 PM,24-Feb-2022 06:00 PM,26-Feb-2022 04:00 PM,1.0,ICICI BANK,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Construction of parking gymnasium and tennis court at site BTC block at Nabha Estate Shimla SH- CO site development building portion WS SI work and rain harvesting etc. under Shimla Smart City,Construction of parking gymnasium and tennis court at site BTC block at Nabha Estate Shimla SH- CO site development building portion WS SI work and rain harvesting etc. under Shimla Smart City,As per SBD ,NA ,"2,23,32,218",Civil Works - Buildings,NA ,Tender,75.0,540.0,Nabha Estate,171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"5,000",Nil,Nil,No,1.0,265999.0,", D.S.Rathore",24-Feb-2022 01:27 PM,Rejected-Finance,reject,26-Feb-2022,Technical,Bid opening summary,Parveen Kumar Verma,26-Feb-2022 03:47 PM,technical_85744.pdf,Finance,Finance,Parveen Kumar Verma,26-Feb-2022 06:21 PM,finance_85744.pdf,BOQ Comparative Chart,1.0,265368.0,S Dev Vij,INR,"19,625,340",EEDivision No-III,Internal,HarnamSinghSr.Asstt.R.S.ThakurSupdtt.PadamSharmaHDM,Parveen Kumar Verma,26-Feb-2022 03:50 PM,26-Feb-2022 04:00 PM,techsummary_85744.pdf (295.52 KB),PWD,2022_PWD_56878_1,SD-III-CB-Tender/22-28786-806 dt.14-02-2022,Construction of parking gymnasium and tennis court at site BTC block at Nabha Estate Shimla SH- CO site development building portion WS SI work and rain harvesting etc. under Shimla Smart City,07-Apr-2022,"INR 19,625,340",540.0,Bhupender Singh,07-Jul-2023 12:55 PM,SAdevAOC.pdf (832.00 KB),AOC,EEDivision No-III,Internal,HarnamSinghSr.Asstt.R.S.ThakurSupdtt.PadamSharmaHDM,Parveen Kumar Verma,26-Feb-2022 06:26 PM,finsummary_85744.pdf (248.00 KB)
,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266434.0,P K Construction Shimla Pvt Ltd,24-Feb-2022 01:22 PM,Rejected-Finance,reject,26-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,265368.0,S Dev Vij,23-Feb-2022 07:14 PM,Accepted-AOC,L1,07-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Proof of MachineryTools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in handcertificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
