Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_58377_1,184619/DB/2021-22-7406-14 Dated 21.03.2022,"Tender for replacement of 57 Nos rotten wooden poles from existing 63 KVA 22/0.4 KV Mahunag -1ST , 25 KVA Seri , 63 KVA Uhf Mahunaag 25 KVA Batahali and 25 KVA Manju Under ESD HPSEBL Churag",1.0,273783.0,HARISH BHARDWAJ,INR,"455,728.59","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,25-Apr-2022 11:59 AM,finsummary_88315.pdf (422.93 KB),1.0,273205.0,Gupta Agencies,28-Mar-2022 11:21 AM,Rejected-Finance,Found higher side as compare to L-1 and L-2,25-Apr-2022 11:59 AM,"Er. Sushil Kumar, Sr. Executive Engineer, ED Karsog",Internal,attached,Sushil Kumar,01-Apr-2022 03:13 PM,01-Apr-2022 03:15 PM,techsummary_88315.pdf (428.79 KB),25-Apr-2022,"INR 591,857",90.0,Sushil Kumar,25-Apr-2022 12:07 PM,AOCjobno.126.pdf (1837.00 KB),NIT amount put to tender,Technical,Attached,Sushil Kumar,01-Apr-2022 02:56 PM,technical_88315.pdf,Finance,attached,Sushil Kumar,25-Apr-2022 11:47 AM,finance_88315.pdf,BOQ Comparative Chart,AOC,"14,796",No,fixed,,Nil,Nil,1.0,DATE CORRIGENDUM,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,590.0,Nil,Nil,No,"Er. Sushil Kumar, Sr. Executive Engineer, ED Karso","Electrical Division HPSEBL, Karsog",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2021-22-7406-14 Dated 21.03.2022,2022_HPSEB_58377_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"Tender for replacement of 57 Nos rotten wooden poles from existing 63 KVA 22/0.4 KV Mahunag -1ST , 25 KVA Seri , 63 KVA Uhf Mahunaag 25 KVA Batahali and 25 KVA Manju Under ESD HPSEBL Churag","Tender for replacement of 57 Nos rotten wooden poles from existing 63 KVA 22/0.4 KV Mahunag -1ST , 25 KVA Seri , 63 KVA Uhf Mahunaag 25 KVA Batahali and 25 KVA Manju Under ESD HPSEBL Churag",please refer tender document  ,N/A ,"5,91,857",Miscellaneous Services,Electrical Works ,Tender,180.0,90.0,Churag,175010.0,NA ,NA ,NA ,"office of Sr. Executive Engineer, ED Karsog",No ,No,1.0,ICICI BANK,22-Mar-2022 04:30 PM,30-Mar-2022 02:00 PM,23-Mar-2022 11:00 AM,30-Mar-2022 11:00 AM,NA ,NA ,23-Mar-2022 11:00 AM,30-Mar-2022 11:00 AM,01-Apr-2022 03:15 PM,AOC
,,,,,,,,,,,,,,,2.0,273783.0,HARISH BHARDWAJ,29-Mar-2022 04:32 PM,Accepted-AOC,Found lowest as compare to all the bidders hence tender has been awarded to L-1 contractor,25-Apr-2022 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,273291.0,Shivalik.inc,28-Mar-2022 10:18 AM,Rejected-Finance,Found higher side as compare to L-1,25-Apr-2022 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work experience/Work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
