Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,33744-61dt.10-3-2022,2022_PWD_58112_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,Widening of turning point of Cart road to Mall road at Chotta Shimla SH Cutting work alongwith construction of 32.00mtre C.C. Breast wall etc. under Smart City project,Widening of turning point of Cart road to Mall road at Chotta Shimla SH Cutting work alongwith construction of 32.00mtre C.C. Breast wall etc. under Smart City project,As per SBD ,NA ,"14,66,790",Civil Works - Roads,NA ,Tender,75.0,90.0,Chotta Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",16-Mar-2022 06:00 PM,23-Mar-2022 11:00 AM,16-Mar-2022 06:00 PM,22-Mar-2022 05:00 PM,NA ,NA ,16-Mar-2022 06:30 PM,22-Mar-2022 05:00 PM,24-Mar-2022 10:00 AM,"29,340",No,fixed,,Nil,Nil,500.0,Nil,Nil,Yes,AOC,Finance,Finance,Parveen Kumar Verma,25-Mar-2022 05:55 PM,finance_87751.pdf,BOQ Comparative Chart,1.0,271667.0,FURKAN AHEMED,INR,"1,132,800",1.0,271621.0,baru ram,22-Mar-2022 04:50 PM,Rejected-Finance,Due to L3,25-Mar-2022 06:11 PM,Technical,Bid opening summary,Parveen Kumar Verma,24-Mar-2022 09:09 AM,technical_87751.pdf,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,24-Mar-2022 09:13 AM,24-Mar-2022 10:00 AM,techsummary_87751.pdf (334.89 KB),PWD,2022_PWD_58112_2,33744-61dt.10-3-2022,Widening of turning point of Cart road to Mall road at Chotta Shimla SH Cutting work alongwith construction of 32.00mtre C.C. Breast wall etc. under Smart City project,08-Apr-2022,"INR 1,466,790",90.0,Parveen Kumar Verma,13-Apr-2022 04:27 PM,AOC58112_2.pdf (433.00 KB),AOC,EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,25-Mar-2022 06:11 PM,finsummary_87751.pdf (316.29 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,271376.0,DALEEP TOMAR,22-Mar-2022 12:18 PM,Rejected-Finance,Due to L6,25-Mar-2022 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,271667.0,FURKAN AHEMED,22-Mar-2022 04:23 PM,Accepted-AOC,L1,13-Apr-2022 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,271681.0,HARGOVIND RANA,22-Mar-2022 12:48 PM,Rejected-Finance,Due to L2,25-Mar-2022 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,271648.0,Manisha Sharma,22-Mar-2022 04:31 PM,Rejected-Finance,Due to L4,25-Mar-2022 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,271387.0,pawan kumar,22-Mar-2022 02:25 PM,Rejected-Finance,Due to L7,25-Mar-2022 06:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7.0,271752.0,Suresh Kumar,22-Mar-2022 04:09 PM,Rejected-AOC,L5,13-Apr-2022 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Mobile Number and Full Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
