S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,252068.0,M/s Kamala Enterprises,INR,"48,047,671.73",Finance,Financial bid opening summary,Eshant Thakur,18-Jan-2022 11:42 AM,finance_81915.pdf,BOQ Comparative Chart,Technical,Bid Opening summary,Eshant Thakur,30-Dec-2021 04:34 PM,technical_81915.pdf,1.0,252342.0,G.P.ACHARYA,29-Dec-2021 07:01 PM,Accepted-AOC,Accepted due to L1 and work awarded,06-Apr-2022 05:12 PM,Er Rajeev Sharma SE,Internal,EE D EE Baijnath AE D Supdt Gr I,Eshant Thakur,05-Feb-2022 03:14 PM,finsummary_81915.pdf (545.22 KB),05-Apr-2022,"INR 53,266,490",540.0,Eshant Thakur,06-Apr-2022 05:12 PM,AOCTashizong.pdf (661.00 KB),AOC and LOA,PWD,2021_PWD_54652_1,PW-SE-JNR-2021-22-6303-6352,"Up-Gradation and Strengthening of Tashizong to Bheth Jhikli, Bheth Upperli, Ghorpith, Averi Road Km 0/0 to 8/915",Er Rajeev Sharma SE,Internal,EE D EE Baijnth AE D Supdt works,Eshant Thakur,12-Jan-2022 01:10 PM,17-Jan-2022 11:00 AM,techsummary_81915.pdf (1140.75 KB),AOC,PWD,PW-SE-JNR-2021-22-6303-6352,2021_PWD_54652_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part-I of Bid,"10,65,500",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,15-Dec-2021 10:00 AM,30-Dec-2021 11:30 AM,15-Dec-2021 10:00 AM,30-Dec-2021 11:00 AM,NA ,NA ,15-Dec-2021 05:00 PM,30-Dec-2021 11:00 AM,17-Jan-2022 11:00 AM,1.0,ICICI BANK,1.0,Technical bid date extend,Date,,SE JNR Circle HPPWD Joginder Nagar,SE JNR Circle HPPWD Joginder Nagar,"Up-Gradation and Strengthening of Tashizong to Bheth Jhikli, Bheth Upperli, Ghorpith, Averi Road Km 0/0 to 8/915","Improvement of Road, Passing Places, R/Walls, Missing C.D. Work, GSB, WBM-II, WBM-III, Tarring work, BM, CC Pavement, Side Drain and Parapets including 5 year routine maintenance after completion the work.) (Under NABARD RIDF XXVII).",Please refer Tender documents. ,NA ,"5,32,66,490",Civil Works - Roads,NA ,Tender,90.0,540.0,Ghorpith,176125.0,NA ,NA ,NA ,JNR Circle HPPWD Joginder Nagar,No ,No,AOC
2.0,252342.0,G.P.ACHARYA,INR,"46,167,690.97",,,,,,,,,,,,2.0,252068.0,M/s Kamala Enterprises,29-Dec-2021 09:36 PM,Accepted-AOC,Rejected due to L2,06-Apr-2022 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Demand Draft as per SBD,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,253220.0,P. L. SHARMA,INR,"53,355,662.74",,,,,,,,,,,,3.0,253220.0,P. L. SHARMA,29-Dec-2021 06:50 PM,Accepted-AOC,Rejected due to L3,06-Apr-2022 05:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Bid Security as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.1.1 as per SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4B (a) i and ii. SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (c) SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (b) (i) as per Appendix to SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Authority to seek references from the Bidders bankers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Undertaking that the bid shall remain valid specified period in clause 15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Evidence of access of credit and availability of financial resources clause 4.2 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
