Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part-I of Bid,Construction of Link Road From Deol to Tatwani Via Karnathu Sarjada Km 0/0 to 10/675,"Improvement of Road, Passing Places, R/Walls, Missing CD work, GSB, WBM-II, WBM-III, Tarring work, BM, CC Pavement, Side Drain and Parapets including 5 year routine maintenance after completion the work.) (Under NABARD RIDF XXVII).",Please refer Tender documents. ,NA ,"10,09,79,921",Civil Works - Roads,NA ,Tender,90.0,730.0,Tatwni,176125.0,NA ,NA ,NA ,JNR Circle HPPWD Joginder Nagar,No ,No,SE JNR Circle HPPWD Joginder Nagar,SE JNR Circle HPPWD Joginder Nagar,"5,000",Nil,Nil,No,1.0,ICICI BANK,09-Dec-2021 10:00 AM,29-Dec-2021 11:30 AM,09-Dec-2021 10:00 AM,29-Dec-2021 10:00 AM,NA ,NA ,09-Dec-2021 05:00 PM,29-Dec-2021 10:00 AM,17-Jan-2022 11:00 AM,"20,20,000",No,fixed,,Nil,Nil,PWD,PW-SE-JNR-2021-22-5701-5800,2021_PWD_54490_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Work No in NIT at Sr No. 1,Other,,AOC,1.0,252069.0,M/s Kamala Enterprises,28-Dec-2021 09:49 PM,Accepted-AOC,Accepted due to L1 and work awarded,06-Apr-2022 05:05 PM,Technical,Bid opening summary,Sanjiv Kumar,30-Dec-2021 03:02 PM,technical_81596.pdf,Finance,Financial Bid Opening Summary,Sanjiv Kumar,18-Jan-2022 11:47 AM,finance_81596.pdf,BOQ Comparative Chart,1.0,252069.0,M/s Kamala Enterprises,INR,"97,466,890.67",Er Rajeev Sharma SE,Internal,EE D EE Baijnth AE D Supdt works,Eshant Thakur,12-Jan-2022 01:12 PM,17-Jan-2022 11:00 AM,techsummary_81596.pdf (1246.11 KB),PWD,2021_PWD_54490_1,PW-SE-JNR-2021-22-5701-5800,Construction of Link Road From Deol to Tatwani Via Karnathu Sarjada Km 0/0 to 10/675,02-Apr-2022,"INR 100,979,921",730.0,Eshant Thakur,06-Apr-2022 05:05 PM,AOCDeol.pdf (704.00 KB),AOC and LOA,Er Rajeev Sharma SE,Internal,EE D EE Baijnath AE D Supdt Gr I,Eshant Thakur,02-Mar-2022 12:42 PM,finsummary_81596.pdf (1656.72 KB),AOC
,,.pdf,Scanned copy of the Demand Draft as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,252910.0,P. L. SHARMA,28-Dec-2021 10:46 PM,Rejected-Technical,Non Responsive,12-Jan-2022 01:12 PM,,,,,,,,,,,,2.0,253007.0,YUDHVIR SINGH,INR,"105,430,613.06",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of the Bid Security as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,253007.0,YUDHVIR SINGH,29-Dec-2021 01:43 AM,Accepted-AOC,Rejected due to L2,06-Apr-2022 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Q.I. 4.1.1 as per SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Q.I. 4.4B (a) i and ii. SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Q.I. 4.4 B (c) SBD Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Q.I. 4.4 B (b) (i) as per Appendix to SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Authority to seek references from the Bidders bankers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking that the bid shall remain valid specified period in clause 15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Evidence of access of credit and availability of financial resources clause 4.2 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
