Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,19-Feb-2022 03:53 PM,19-Feb-2022 04:00 PM,techsummary_84487.pdf (771.83 KB),Technical,Bid Opening Summary,Kishan Lal Chaudhary,19-Feb-2022 01:31 PM,technical_84487.pdf,1.0,262098.0,IQBAL SINGH,17-Feb-2022 06:44 PM,Accepted-AOC,L-1,11-Apr-2022 05:05 PM,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,14-Mar-2022 10:57 AM,finance_84487.pdf,BOQ Comparative Chart,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,14-Mar-2022 02:08 PM,finsummary_84487.pdf (316.73 KB),PWD,2022_PWD_56172_13,Tender/2021-22-9688-9737 dated 18.01.2022,Construction of Jamniwala khara road km 0/0 to 6/112. (SH-Providing and laying concrete block pavement in km 6/0 to 6/112). Under MNP.,11-Apr-2022,"INR 1,080,400",60.0,Kishan Lal Chaudhary,11-Apr-2022 05:05 PM,aoc.pdf (980.00 KB),AOC,1.0,262098.0,IQBAL SINGH,INR,"756,280",AOC,"21,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,opening date of tender is hereby postponed,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),500.0,Nil,Nil,No,Construction of Jamniwala khara road km 0/0 to 6/112. (SH-Providing and laying concrete block pavement in km 6/0 to 6/112). Under MNP.,Construction of Jamniwala khara road km 0/0 to 6/112. (SH-Providing and laying concrete block pavement in km 6/0 to 6/112). Under MNP.,Please refer tender document ,NA ,"10,80,400",Civil Works - Roads,NA ,Tender,75.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,01-Feb-2022 04:30 PM,18-Feb-2022 11:00 AM,01-Feb-2022 05:00 PM,18-Feb-2022 10:30 AM,NA ,NA ,01-Feb-2022 05:00 PM,18-Feb-2022 10:30 AM,19-Feb-2022 04:00 PM,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),PWD,Tender/2021-22-9688-9737 dated 18.01.2022,2022_PWD_56172_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,2.0,264753.0,MEHRAJ ALI,17-Feb-2022 11:05 PM,Rejected-Finance,L1,14-Mar-2022 02:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,264750.0,SANJEEV GUPTA,17-Feb-2022 10:43 PM,Rejected-Finance,L1,14-Mar-2022 02:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Copy of Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Copy of GST Registration (Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1 duly signed by the concerned officer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Bid will be rejected if any incomplete work noticed beyond stipulated period without genuine reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
