Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
01-Apr-2021 10:00 AM,17-Apr-2021 11:00 AM,01-Apr-2021 10:00 AM,16-Apr-2021 05:00 PM,NA ,NA ,01-Apr-2021 10:00 AM,16-Apr-2021 05:00 PM,22-Apr-2021 05:25 PM,PWD,Dshala 10119-50,2021_PWD_46057_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"37,510",No,fixed,,Nil,Nil,C/O Link road from Samber Lahar to Village Thathri km 0/000 to 3/570 under RIDF- XXI (NABARD) in Distt. Kangra HP,SH - Balance work for C/O Cross Drainages work and retainng wall at various RDs in km 2/060 to 3/570)- (2nd call),Please refer Tender documents. ,NA ,"20,00,531",Civil Works,NA ,Tender,120.0,60.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,Executive Engineer HP PWD Dharamshala Division,AOC,1.0,208756.0,M/S Sanjay Garg,INR,"2,599,323",Finance,As per document attached,Sushil Kumar Dhadwal,22-Apr-2021 05:38 PM,finance_69282.pdf,BOQ Comparative Chart,1.0,207958.0,Bhag Singh,14-Apr-2021 09:19 AM,Rejected-Finance,DUE TO HIGHER BID,18-May-2021 06:45 PM,Technical,As per document attached,Sushil Kumar Dhadwal,17-Apr-2021 03:38 PM,technical_69282.pdf,PWD,2021_PWD_46057_2,Dshala 10119-50,C/O Link road from Samber Lahar to Village Thathri km 0/000 to 3/570 under RIDF- XXI (NABARD) in Distt. Kangra HP,Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,22-Apr-2021 05:23 PM,22-Apr-2021 05:25 PM,techsummary_69282.pdf (307.07 KB),Er. S.K. Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,18-May-2021 06:45 PM,finsummary_69282.pdf (176.06 KB),11-Apr-2022,"INR 2,599,323",60.0,Sushil Kumar Dhadwal,11-Apr-2022 08:05 PM,SANJAYGARG.pdf (958.00 KB),SANJAY GARG,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,2.0,207845.0,choudhary construction,15-Apr-2021 08:04 AM,Rejected-Finance,DUE TO HIGHER BID,18-May-2021 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,AOC,,,,,,,,,,,,3.0,208769.0,Kapil Sharma,16-Apr-2021 04:02 PM,Rejected-Finance,DUE TO HIGHER BID,18-May-2021 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,AOC,,,,,,,,,,,,4.0,208756.0,M/S Sanjay Garg,16-Apr-2021 01:42 PM,Accepted-AOC,DUE TO L1,11-Apr-2022 08:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
