Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Tenders opened,Harsh Puri,25-May-2021 09:55 AM,technical_70692.pdf,Er Harsh Puri EE,Internal,Er Raghubir Singh AE to EE SH Dalip Jha DAO Sh Raghubir Singh AE to EE Smt Sushma Sharma DHD,Harsh Puri,25-May-2021 04:41 PM,27-May-2021 10:30 AM,techsummary_70692.pdf (361.04 KB),1.0,212292.0,Davinder kumar,20-May-2021 05:29 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:32 PM,Finance,Bid opening summary,Harsh Puri,05-Jun-2021 06:24 PM,finance_70692.pdf,BOQ Comparative Chart,Er. Harsh Puri EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Harsh Puri,05-Jun-2021 06:32 PM,finsummary_70692.pdf (361.04 KB),PWD,2021_PWD_47044_15,EE Dehra letter No. 250-54 dated 22.04.2021,Periodic Renewal on J/Mukhi to Daroli road the year 2021-22 under PMGSY,08-Apr-2022,"INR 1,416,356",30.0,Dinesh Kumar Dhiman,08-Apr-2022 11:59 AM,Award-47044-15.pdf (708.00 KB),Award of work,1.0,211960.0,Rajinder Rana,INR,"1,416,356",AOC,1.0,ICICI BANK,1.0,Corrigendum,Date,,"25,400",No,fixed,,Nil,Nil,PWD,EE Dehra letter No. 250-54 dated 22.04.2021,2021_PWD_47044_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic Renewal on J/Mukhi to Daroli road the year 2021-22 under PMGSY,Providing and laying 30mm thick Bituminous Concrete with Paver Finisher on Km. 3/000 to 3/525 and 6/000 to 7/000).,Please refer to tender documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE Division HPPWD Dehra,No ,No,Executive Engineer,Dehra Division HPPWD Dehra,30-Apr-2021 06:00 PM,24-May-2021 11:30 AM,30-Apr-2021 06:00 PM,22-May-2021 06:00 PM,NA ,NA ,30-Apr-2021 06:00 PM,22-May-2021 06:00 PM,27-May-2021 10:30 AM,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form through e-challan,AOC
,,,,,,,,,,,,2.0,213204.0,rajat thakur govt contractor,22-May-2021 01:30 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money through e-challan,AOC
,,,,,,,,,,,,3.0,211960.0,Rajinder Rana,11-May-2021 08:11 AM,Accepted-AOC,Work awarded,08-Apr-2022 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,4.0,211844.0,Sanjal Sharma,22-May-2021 01:49 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST Registration,AOC
,,,,,,,,,,,,5.0,213044.0,VP SHARMA,20-May-2021 01:30 PM,Rejected-Finance,Rejected being highest bid amount,05-Jun-2021 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipments",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,AOC
